,Mismatch,avg_gap_dir_nosoc,avg_gap_nosoc,avg_workfunction,avg_c_12,avg_E_B,avg_emass_vb_dir1,avg_emass_cb_dir1,avg_alphax,avg_alphaz,avg_cbm_score,avg_cbm_s,avg_cbm_pd,avg_vbm_sd,avg_vbm_pd,avg_lattice_param,avg_PymatgenData maximum X,avg_PymatgenData range X,avg_PymatgenData minimum atomic_mass,avg_PymatgenData mean atomic_mass,avg_PymatgenData mean atomic_radius,avg_PymatgenData std_dev atomic_radius,avg_PymatgenData minimum thermal_conductivity,avg_PymatgenData maximum thermal_conductivity,avg_PymatgenData minimum melting_point,avg_cbm_spd_card,avg_cbmsite_vdw_radius,avg_cbmsite_atomic_vol,avg_cbm_character_p,min_cbm,min_vbm,max_vbm,wf_diff,band_alignment_1,band_alignment_3
band_alignment_3,0.11839799334976099,-0.6137420423613217,-0.6077198519731977,-0.17880058973036317,0.34882603293223496,-0.3989304398326531,-0.07847710152897559,-0.07695101525185781,0.29837998219146084,-0.052979519058580525,0.1779057377025952,-0.37163496752287367,0.2721392329665154,0.1106286649335217,0.22071086657252056,-0.14729450765645247,0.03709683857823383,-0.0021005378082763772,-0.0062601603188289345,0.09452571835869512,-0.08689320865445044,0.03993419835382019,0.12472483323418786,-0.2895966077197728,0.09297489570739223,0.4012812883519387,0.04091178635233958,-0.1710341921562449,-0.05799004921764809,-0.37550196199890795,0.1324243679485873,0.6651653808835072,0.6473358392939671,-0.4467119536196972,1.0
band_alignment_1,-0.000968607003719307,0.3766630329856172,0.37585477786543525,0.07225099830880388,-0.17516463133695448,0.2826704587688726,0.041139212505960004,0.058258872378926616,-0.11575152880502232,0.0635033828723863,0.06088912436377171,0.1323783862682594,-0.06322447331536832,-0.12152714763550913,-0.15143959637851875,0.09268591260653618,-0.013806645198636442,0.1458813778765758,0.004380695312639699,-0.08330966976658023,0.06622475883199058,0.05495962708526013,-0.005122113536652179,0.06333138726296413,-0.07606145353296022,-0.10890858314277027,0.04889621929134612,0.1920461505553084,-0.05432013810047943,0.19905987238611592,-0.11730203341008856,-0.3667567469598196,-0.36903726621607863,1.0,-0.4467119536196972
wf_diff,0.0753684573912181,-0.27749213275206674,-0.29403522757302314,-0.006636389042896341,0.2956710589206492,-0.1403099345944836,-0.09258412494241976,0.04908220659159481,0.19372277889513753,-0.037582481373881774,0.25519086691220366,-0.2100072763090135,0.12163486109762141,0.009005696470248752,0.1882341331020185,-0.3183448027084963,0.368162614675997,0.31776540836592143,-0.23271974040251725,-0.17309524383033478,-0.3395233758609333,0.2516720013590225,-0.10352128820709293,-0.21589712912979853,-0.24323419711750616,0.24431110467343162,-0.017324942078887733,-0.17273422168369468,-0.0774056781044897,-0.493043626072464,-0.18954957821869892,0.4237813926299548,1.0,-0.36903726621607863,0.6473358392939671
max_vbm,0.0026943966172826603,-0.6284352099172361,-0.6302292327986553,-0.6229022999100953,0.2065031311720118,-0.5289568155334304,0.009482277513699117,-0.047167675607159426,0.3278328641575405,0.059169147887038046,0.11589591423422285,-0.3568665987271443,0.3289568686672412,0.257549166677545,0.22269425446704433,-0.05261173004532297,-0.2997174436468161,-0.2117637522461318,0.23609974071257786,0.25683463157836744,0.2036304528754821,-0.31301787508804346,0.2866200991187433,-0.0967866304682382,0.38600828089081995,0.422314524952905,0.125314370367645,-0.11113138917282572,-0.18132858154196038,0.18400963036467674,0.4623195881550944,1.0,0.4237813926299548,-0.3667567469598196,0.6651653808835072
min_vbm,0.037429746166888156,-0.6560848982444242,-0.676583803728903,-0.6102039126753764,0.0912029511337953,-0.5895330080249924,0.06155759798218935,-0.19936670611724214,0.1734173267460578,0.14722965344117925,-0.10951204292022926,-0.22710244737405663,0.21337756080699735,0.23376332863680838,0.01791007432561479,0.12050806956768595,-0.6251306077294916,-0.5475002324002927,0.3414228097362865,0.32885184236462495,0.3906708507840331,-0.5528889376666261,0.3952645972599427,-0.012320340331512266,0.6025908223735013,0.2381319116140474,-0.029551051971197274,-0.17175989208036505,-0.022430816750878754,0.4409207285201085,1.0,0.4623195881550944,-0.18954957821869892,-0.11730203341008856,0.1324243679485873
min_cbm,-0.08248708407347387,0.21917915273979593,0.2182144373214873,-0.5656696283280573,-0.15763407898349316,0.05182427555830751,0.18300045963698125,0.10125766318214964,0.023770122401181426,0.044754506517000865,-0.07320132824060306,0.05781804607433369,0.041661408158753195,0.08446900388689142,-0.1706393925366973,0.14402761118931184,-0.4817982214382632,-0.20223961576073532,0.2571876556101807,0.10768643354905448,0.4127272525766373,-0.45617028295674117,0.2072532234889931,0.24723142926702393,0.3811257264506125,-0.009908822955739909,0.07575007618191903,0.1286986617813887,-0.15350257006088014,1.0,0.4409207285201085,0.18400963036467674,-0.493043626072464,0.19905987238611592,-0.37550196199890795
avg_cbm_character_p,0.03292816025092056,0.031456045225202255,0.01714935058734227,-0.05523479892070848,-0.1145292920503813,0.048929566575853345,-0.13405380763843963,-0.08694649823132454,-0.07479178013988487,-0.06868034204975078,-0.22344508266225824,-0.23180424120429013,-0.2244337991035868,-0.1782337925729445,-0.38182185063647156,0.16982377876779148,-0.06228945419653572,-0.26878627438552544,0.06215887310601462,0.11218058904485541,0.06430811611603264,0.030922555944542015,0.09742824208630074,0.16531119247900944,0.08204816460112185,-0.0387882567516307,-0.287136766386516,-0.12805874767968417,1.0,-0.15350257006088014,-0.022430816750878754,-0.18132858154196038,-0.0774056781044897,-0.05432013810047943,-0.05799004921764809
avg_cbmsite_atomic_vol,-0.07189523581120445,0.2936977576339581,0.3274143863724019,-0.06635057810177605,-0.34002273162326063,0.4267744109127742,-0.018638316620793897,0.22024962356909403,0.07558649633212217,0.058812920312962626,0.10306685888295773,-0.003182318417683981,-0.005250946854383952,-0.13131922982114425,-0.11191855675843224,0.5835817724752376,-0.04517710646696618,0.2431754679813938,0.32017954366800394,0.37515544078170193,0.5517995696389231,0.2971675769549474,-0.025859017239815214,-0.053972965319661365,0.002347170737741969,-0.0017343853541092434,0.6892662814008075,1.0,-0.12805874767968417,0.1286986617813887,-0.17175989208036505,-0.11113138917282572,-0.17273422168369468,0.1920461505553084,-0.1710341921562449
avg_cbmsite_vdw_radius,-0.019918583993642217,0.0046994204766659135,0.03405860463912187,-0.10212652158876272,-0.2443510162565735,0.1975089560988491,-0.007055469551389972,0.2234609392248406,0.16198423550806282,0.07250363167750729,0.3236791847088068,-0.2479537170464888,0.29273296452797726,0.037186428040583745,0.17369499308187775,0.3705093060515207,-0.07090335592038698,0.17750586808384694,0.3371745645376248,0.3016501527385359,0.35994613854948837,0.07457611932355315,0.0010157175301585713,-0.1572691623710314,0.10099024027488823,0.2843441135021507,1.0,0.6892662814008075,-0.287136766386516,0.07575007618191903,-0.029551051971197274,0.125314370367645,-0.017324942078887733,0.04889621929134612,0.04091178635233958
avg_cbm_spd_card,0.06418980005139231,-0.31843586389378964,-0.3431664275682164,-0.17258146245095166,0.20585963240641622,-0.24003272744896956,0.004061117809948787,0.14870289642484516,0.1406100869757178,0.0063805130245932,0.632867916109639,-0.9176358585730409,0.8284443268633543,0.2917934941704498,0.19405516839278075,-0.35331071041043305,-0.014554280497642794,-0.002159092593922858,-0.16350662764879376,-0.09242626436599599,-0.18682809341984133,0.1550987899966717,0.030969442644968672,-0.3022540489111856,0.09455733215172947,1.0,0.2843441135021507,-0.0017343853541092434,-0.0387882567516307,-0.009908822955739909,0.2381319116140474,0.422314524952905,0.24431110467343162,-0.10890858314277027,0.4012812883519387
