,Mismatch,avg_Etotal,avg_hform,avg_evac,avg_gap,avg_cbm,avg_gap_dir,avg_gap_dir_nosoc,avg_gap_nosoc,avg_workfunction,avg_vbm_hse,avg_cbm_hse,avg_gap_dir_hse,avg_c_11,avg_c_12,avg_E_B,avg_emass_vb_dir1,avg_emass_vb_dir2,avg_emass_cb_dir1,avg_emass_cb_dir2,avg_alphax,avg_alphaz,avg_cell_area,avg_cbm_hybridization,avg_cbm_score,avg_vbm_hybridization,avg_vbm_score,avg_cbm_s,avg_cbm_d,avg_cbm_sp,avg_cbm_sd,avg_cbm_pd,avg_vbm_s,avg_vbm_d,avg_vbm_sp,avg_vbm_sd,avg_vbm_pd,avg_lattice_param,avg_PymatgenData minimum X,avg_PymatgenData maximum X,avg_PymatgenData mean X,avg_PymatgenData maximum atomic_mass,avg_PymatgenData range atomic_mass,avg_PymatgenData mean atomic_mass,avg_PymatgenData std_dev atomic_mass,avg_PymatgenData minimum atomic_radius,avg_PymatgenData range atomic_radius,avg_PymatgenData mean atomic_radius,avg_PymatgenData std_dev atomic_radius,avg_PymatgenData minimum thermal_conductivity,avg_PymatgenData maximum thermal_conductivity,avg_PymatgenData mean thermal_conductivity,avg_PymatgenData std_dev thermal_conductivity,avg_PymatgenData minimum melting_point,avg_PymatgenData maximum melting_point,avg_PymatgenData mean melting_point,avg_PymatgenData std_dev melting_point,avg_cbm_spd_card,avg_vbm_spd_card,avg_vbmsite_vdw_radius,avg_cbmsite_vdw_radius,avg_cbm_mend_no,avg_cbmsite_mass,avg_cbmsite_en,avg_cbmsite_nvalence,avg_cbmsite_mp,avg_cbmsite_atomic_vol,avg_cbmsite_atomic_radius,avg_vbmsite_mass,avg_vbmsite_en,avg_vbmsite_nvalence,avg_vbmsite_mp,avg_vbmsite_atomic_vol,avg_vbmsite_atomic_radius,avg_vbm_character_d,avg_vbm_character_p,avg_cbm_character_d,avg_cbm_character_s,max_cbm,min_vbm,max_vbm,anderson_gap,wf_diff,band_alignment_2,band_alignment_3
band_alignment_3,0.12063216684478321,-0.35580605360087897,0.09836722945219849,0.21139443546624018,-0.5773574551888826,-0.25558688537087404,-0.5720783209200229,-0.599482306114007,-0.5943786534839015,0.025495279551355065,0.525151743210791,-0.1234902511749568,-0.5840114219966815,0.18639137473815537,0.31163901151371326,-0.39265158553370144,-0.029913094040006787,0.15506002309241113,-0.10987741369766926,-0.11090263085855115,0.32816105377433163,-0.07808311333833998,-0.19468510963306998,-0.26705883927010104,0.1805921510098895,-0.12881294894801185,0.25457511474691963,-0.29923520804369824,0.3195067163349819,-0.2029622412045889,-0.12718108804189668,0.21055388693382807,-0.13960275839439,0.5257082548019588,-0.16526044217963964,0.1455107080298942,0.22207192812201124,-0.19689820205409536,0.21711475863734486,0.06721487111641686,0.14243418929858248,0.11303087490529169,0.1282708235464541,0.047611349491721244,0.12827082354645417,-0.15970722636235235,0.07336885249342678,-0.15096818839959478,0.07336885249342674,0.12372239213337075,-0.20286023607509548,-0.19250380713121182,-0.2040608456880266,0.06025786395953236,0.368177044650827,0.3479253469105745,0.34547899939273735,0.3406299839415842,0.4972681082474213,0.34883184200868084,-0.0074985016956514595,0.014937996334607283,0.015570280100153275,0.1812263258255829,0.17724811320810413,0.38290637050143217,-0.18745079247302435,-0.18574520731132338,0.060271661369971564,-0.47950203855327345,-0.30265202518482826,0.5571167607200209,0.23460584324293834,0.1671753904845909,0.5373764908523085,-0.5271231698434526,0.30292438387936454,-0.2376738184470781,0.18388507309283744,0.02653840446841269,0.5879506794690265,-0.8317792460966498,0.6255638293624934,-0.5095782101015262,1.0
band_alignment_2,-0.07275551463574129,0.15540398209021336,0.1465864013423751,-0.013039936675682345,0.0998862820943841,0.07803203289821697,0.0897885222435122,0.1218267560460557,0.12244592484434766,-0.030188590991430703,-0.12867390854492275,-0.010607714544023634,0.11200620550573544,-0.0748006933026774,-0.09909016798370532,0.06008973369934716,-0.005899846813119102,0.08228380850267143,-0.004944304193560771,-0.04122875104268244,-0.15768427463328283,0.16016772852395408,0.11740780671085468,0.2770652944895092,-0.25058642586007857,0.1998860980387182,-0.17842141235577522,0.14722441733835806,-0.24921009897700583,0.18015027250770527,-0.02992094893295364,-0.131671330209709,0.1322507070194127,-0.12609966177139945,0.15168986393104897,0.037017038267566436,-0.011079860728879922,0.11828920253814781,0.12116430374327468,-0.045075916069258086,-0.018784534604599785,0.10443580842759441,0.06526495520019206,0.09365128330622587,0.06526495520019208,0.1140067891559383,-0.10885377395630297,0.09248737169469569,-0.1088537739563031,-0.057231973185056524,0.16895638760342935,0.20116130880973884,0.1695449691111394,0.0318070172410799,-0.18714402717037545,-0.13723455501285411,-0.18926994432303623,-0.22530076817920547,-0.0935995827449056,-0.04034171796097934,-0.035112314087824614,0.19213492347788308,0.1893542067737553,0.14092336701899252,0.03901764666455244,-0.21522008616663196,0.021203876482154816,0.04559587844787571,0.09355293733082481,0.11040423384767817,0.09636124290630986,-0.1452930301018248,0.00913751747869391,0.031125581790276153,-0.11424555599642335,0.11517207803944922,-0.23919979243324987,0.11799134259428477,-0.12532553407839409,0.13144558374074325,-0.19964033297573278,0.30512368980652455,-0.2201502182196532,1.0,-0.5095782101015262
wf_diff,0.1788986070303377,-0.29901932690373423,-0.18760039691265912,0.05327213774100448,-0.22803982058519542,-0.19225383138118413,-0.21641853284611529,-0.23917487034417792,-0.24400501529366034,0.10951476276096199,0.2675351736411516,0.002944071192449503,-0.24492336905658305,0.29471872527686455,0.3510281640062135,-0.12936589239531424,-0.085992821328036,0.09537518731752292,0.0020957490969271087,-0.059561630034030186,0.279004919573992,-0.16691707037408304,-0.35623650274922736,-0.3607083963180489,0.2949053070296462,-0.33931770163636993,0.37320260805242944,-0.1546443584975026,0.26206986016073164,-0.10593247898576279,-0.14516208532734085,0.06309514803149412,-0.19903127040360127,0.46228866236425786,-0.2133987697533362,-0.04972036396395901,0.14989811052935753,-0.35985137962776154,0.09072052294904644,0.35635562774315416,0.38160635805657994,-0.0009482765797108817,0.1316674768663483,-0.16815392426897868,0.13166747686634844,-0.3497874043144407,0.23870135226095296,-0.34735096062678616,0.23870135226095304,-0.07279032389343698,-0.24852706100046054,-0.26533332118472397,-0.2479832884514249,-0.20534358323934498,0.30557095343994034,0.1721197133271279,0.3426136726944984,0.20718966423431281,0.3668866579190237,0.11312151901543221,-0.04735327581944578,-0.07739439165913563,-0.07137209172440477,0.12184666096869655,0.03989322148256193,0.29713197615979514,-0.163849536626243,-0.20133407833052572,-0.08246191384774505,-0.26375144669436174,-0.3546414518119573,0.37079575750253047,0.0628839079239589,-0.027410875419904373,0.4804951101924993,-0.46068724683675066,0.22819979478634222,-0.1063831471666089,0.27003445735878967,-0.25521484700704067,0.39188723612407367,-0.6508340960839394,1.0,-0.2201502182196532,0.6255638293624934
anderson_gap,-0.12644582173980493,0.3357272938700121,-0.209027147752507,-0.2559844113289075,0.7157747104623382,0.31011699424120015,0.7119412298714867,0.7289467170908901,0.7244006689973723,-0.016807486749364522,-0.6565421658132541,0.12952315836418096,0.7121315946597806,-0.14531315054005606,-0.29746219621377945,0.5325175484406842,0.06604765877199736,-0.2158228439867761,0.18137903285334314,0.19330605129720416,-0.31190789513940337,-0.0332006634312093,0.16303053779893445,0.20032449499294455,-0.11288102985515192,0.032775221924402395,-0.20747829267747175,0.2688645119164276,-0.30582959604706533,0.17017563152919135,0.08862192569411192,-0.235549325924606,0.12752791841457886,-0.5986576222880449,0.14875723158304086,-0.19814746463352292,-0.33080831755937185,0.16082957108933293,-0.3362656957482055,-0.03224911350331811,-0.16474192939085602,-0.2584999090738773,-0.21660691793020345,-0.1870145003569153,-0.2166069179302033,0.10326485792704165,-0.01512577263083259,0.1127116838204125,-0.015125772630832635,-0.16809567271906406,0.21538280426904138,0.19394626184537597,0.21698739365830622,-0.12242713810053663,-0.3556333953398719,-0.3455012772121342,-0.3196544646295975,-0.3105210275051415,-0.5434171131516224,-0.44177092990809974,0.002686542422627684,-0.1723255711281677,-0.17140631393073816,-0.2625178945495675,-0.24492164964748006,-0.3608672390915919,0.22434159535475848,0.17813276535828243,-0.218986194180919,0.5316529383753247,0.33885130572079997,-0.6006143489420164,-0.31055178513511583,-0.2420475837916887,-0.6077511795028347,0.5914011268996199,-0.29352057940891924,0.212051354136906,-0.218048295169598,-0.06411153787708943,-0.7051750085411386,1.0,-0.6508340960839394,0.30512368980652455,-0.8317792460966498
max_vbm,0.08616711926755953,-0.41175661109785855,0.22326499610512238,0.6133932892135053,-0.5289642504868449,0.4024788278636636,-0.5092539797371769,-0.5296194298083702,-0.5417938649919181,-0.48289038401761103,0.8150118075908449,0.417886336465869,-0.5329623366210016,0.18645937152671013,0.18082232387498268,-0.48847871036487556,0.08349227939615503,0.18057387936046335,-0.08047493797083212,-0.13633697273239168,0.28704287472403606,0.22935790133771233,-0.14844993506737664,-0.06788265285505242,0.04189247041719321,0.1088165962920029,0.1362035146289914,-0.23707371772689878,0.4157399324739815,-0.23099152708495696,0.02612478687017697,0.26387884272290607,-0.029763074111261903,0.5939862788681585,-0.048541194569916075,0.27804939699728687,0.15292023885128736,-0.14116160815451473,0.05156996338212612,-0.30040770500336844,-0.2618799586297939,-0.027700319820696307,-0.14834528741260486,0.13017840996066907,-0.1483452874126048,0.20117005852752787,-0.3350036533526178,0.09764776345746873,-0.33500365335261784,0.2878639052414745,-0.03728858847949413,-0.02560914414994229,-0.03988991255919498,0.37657471133228637,0.47799245677495894,0.5571813134374272,0.3832356486460066,0.30328959048209425,0.6046891190977183,0.5256083875765742,-0.01989360901836699,4.974733201128837e-05,-0.006974299246533581,0.023349768388020584,0.38320604676106396,0.4555747138354561,-0.19336686449850868,-0.11219280509809808,0.26587032411846373,-0.6123814336525136,-0.05907452185120616,0.7104942934673112,0.40739427180213483,0.3831310122865079,0.5465592026611877,-0.5282258469509625,0.3810961409850593,-0.17400596824906234,0.5979272001556797,0.3491438892639247,1.0,-0.7051750085411386,0.39188723612407367,-0.19964033297573278,0.5879506794690265
min_vbm,0.03184780009816703,-0.07221267003173744,0.6508334234572395,0.4678778654758101,-0.6373022978734739,0.27813727975271413,-0.6015886718246591,-0.5879936700137284,-0.6204040376061265,-0.5381138509440078,0.6510996984615282,0.06060041434839352,-0.5801783334707493,0.009601061890748138,-0.03485586778796023,-0.5538775733003001,0.15000070694372478,0.26969540024254085,-0.1946171724056936,-0.1620800133875541,0.012482234358465035,0.30325033973599325,0.1407418574452111,0.2963283547763663,-0.3130204719388496,0.37690553025935014,-0.1313544269901665,-0.0715843247849636,-0.029532072199209898,-0.030065595184232123,0.07649477014242684,0.07549996212488377,0.22919428643597675,0.060365093227866484,0.24349591014776456,0.1792666889570937,-0.09703399900213867,0.14540694591564762,0.1565165574900787,-0.6495700578317946,-0.5973610039970527,0.062152997304431024,-0.1371204911474138,0.3063675872032913,-0.13712049114741384,0.45253237302029764,-0.5800180531975967,0.34150076082753855,-0.5800180531975974,0.3549332650554809,0.07724879087204063,0.1595149481520865,0.07409584614153863,0.5988739916213573,0.07820958183161608,0.32653781411166,-0.05486663061989354,0.025908942887208776,0.12241447364271484,0.3438624130374941,-0.1212237544277605,0.04846897623790189,0.042237797206458566,0.1336270028893661,0.3403948957531054,0.053368340726584904,-0.1990628370474531,-0.1177577170490972,0.26124441826501504,-0.4436805952637871,0.15112376345342263,0.20626144765918275,0.3102169265030219,0.3401552628466281,-0.02692647442953897,0.015249769024087936,-0.046918411212821684,-0.055648387173059484,0.12538942050989654,1.0,0.3491438892639247,-0.06411153787708943,-0.25521484700704067,0.13144558374074325,0.02653840446841269
max_cbm,0.014721193347381586,-0.3188976150640799,-0.2098199602915842,0.4587095568188121,0.13590687899492054,0.7574901257726514,0.16657773540094414,0.14217284771871697,0.11827642229251371,-0.5168492780055483,0.3707190627476757,0.7743946621426191,0.13321282978674823,0.2395699013237656,-0.0030471080166530723,-0.029158266554655157,0.12774653878726663,-0.005639950432475335,0.12586084881072607,0.07168815662314881,0.02465063525572689,0.11715256939623717,-0.2205573513238259,-0.12231717494823938,0.20406480781079617,-0.09629841708139045,0.18205235306455517,-0.17072101539562792,0.36452869039010494,-0.18614919627543908,0.10565109281321881,0.12403655329851943,-0.05749526269023337,0.27619376121369804,-0.06269820140934843,0.028185357799034527,-0.10122631927958531,-0.21897368937708214,-0.3097044542161711,-0.1329698561355071,-0.21912091677758813,-0.32515843317941967,-0.2918607437586349,-0.17713125200415034,-0.29186074375863486,0.13885081210799416,-0.2476643139360939,0.021532926181268137,-0.24766431393609373,0.10930212047509114,0.10070523026003575,0.057154549200131466,0.09976827161698519,0.15010485425884196,0.43200770382288317,0.43159673744128246,0.38799883024688747,0.21406295199011,0.3276879408626389,0.2289887716629631,-0.039674310383588055,-0.3054029863444593,-0.3040524579216793,-0.2743764460416287,0.18433564932380314,0.408461231676951,-0.013348634006559066,-0.0045492150521450475,0.09763498084200133,-0.2448606548195405,0.024781744765560495,0.4183882013233673,0.22106347219115624,0.19252937734366776,0.3014925216995695,-0.2814724457506528,0.2969378102887443,-0.09675292591355993,1.0,0.12538942050989654,0.5979272001556797,-0.218048295169598,0.27003445735878967,-0.12532553407839409,0.18388507309283744
avg_cbm_character_s,-0.028689410729777116,0.3528769462481272,0.06347497388019942,0.05169297159689817,0.1593003791337263,0.02126717576729397,0.13916338680741477,0.12086427785368366,0.13916611675283258,0.15973906888036526,-0.12920356430176308,0.02562599893551018,0.11401836411013964,-0.19240133012714133,-0.09231392776517228,-0.026247901346010426,-0.06055623120530283,0.0851771753562012,-0.20053920388732777,-0.20669429358105762,-0.09630717006951092,0.25130024343584084,0.10668068650850937,0.48004505194390173,-0.41875992425821135,0.2740329904794175,-0.31025407775133185,0.8986536773585685,-0.5272184323721105,0.7026572031013886,0.26342495308714753,-0.591100156835308,0.024643098188831935,-0.2218725388435826,-0.012022913040532464,-0.10775281875271307,0.04268151626569902,0.12526836663864505,-0.2313578033387411,-0.0034352918098963796,-0.11609210130147239,-0.147813894386969,-0.17280098779877862,-0.05590691478565506,-0.17280098779877867,0.14316116653147978,-0.1934177998444531,0.0826669002348033,-0.19341779984445326,-0.049410952368201866,0.06803351719268115,0.04201309683547262,0.06850726617381626,-0.05625911802041478,-0.5260323834034722,-0.5226792721387586,-0.5001314146352938,-0.815830641855764,-0.2560355487971706,0.0005901690930431099,-0.15307766037094606,-0.1079632053344666,-0.12194490298764311,-0.3431089513715009,-0.5636624688945123,-0.46440038754254803,-0.039312741541111314,0.06927759921102987,0.03175097307229739,0.08364534536750563,0.2372192243854044,-0.2903694484243014,0.06800524950342753,0.10654565484601972,-0.2016426233003727,0.17203852503198158,-0.5300554253919156,1.0,-0.09675292591355993,-0.055648387173059484,-0.17400596824906234,0.212051354136906,-0.1063831471666089,0.11799134259428477,-0.2376738184470781
avg_cbm_character_d,0.07658540067491923,-0.4650863827415352,-0.3323462370456359,0.3081840805737103,-0.07950500661336561,0.1631349953031515,-0.07290878095086696,-0.10257006843718709,-0.09673648657009903,-0.02136777541437299,0.22715286750739688,0.260748001618617,-0.05165507279299122,0.25512047521291337,0.21060457300917518,0.024843815858670678,0.06224063425498188,-0.18875440137827815,0.34995087349110326,0.33269820717002774,0.11866459265322385,-0.123859775877553,-0.23220253225869,-0.6123792362641358,0.593588787701991,-0.2350418679120324,0.212474506160477,-0.6499986680552003,0.9663105987514734,-0.7381512516672535,0.007703564927636945,0.8357614428465435,-0.3107497120018057,0.5208016267940327,-0.3551974528908966,0.2787493002070398,0.29154949546668013,-0.23604276760629386,-0.11632122942171802,0.11173150803029953,0.1291980263549039,0.024385399068454706,0.10107605662394445,-0.07317827715070765,0.10107605662394449,-0.12927747644219403,0.18251202709280012,-0.12325444651730051,0.18251202709280023,-0.0867106744225755,-0.1739856463872292,-0.2249678207530223,-0.17328393272891476,-0.04104385912570575,0.6717726164319145,0.5304209772237941,0.6634001173766608,0.8443234489156689,0.4825651429051076,0.14348518207504835,0.42433266844628836,0.06585692655199064,0.06450186218779758,-0.19312245499018196,0.17495345428959383,0.6956341326870895,0.15880512751837314,0.12718710083178122,0.05823777885274315,-0.139385802927612,-0.15132206878845605,0.45905820335699143,0.03244850086103521,0.011565953355627979,0.45638712612343524,-0.4166503373123951,1.0,-0.5300554253919156,0.2969378102887443,-0.046918411212821684,0.3810961409850593,-0.29352057940891924,0.22819979478634222,-0.23919979243324987,0.30292438387936454
avg_vbm_character_p,-0.08448364993224622,0.34893310059728166,-0.006443219251849639,-0.1917967362077107,0.3313611181508005,0.01924183345968238,0.3253701986939682,0.34494376378725555,0.349043821062753,0.0988454322638521,-0.4244576868921844,-0.18625092825502335,0.3032159761573882,-0.2169220248375537,-0.3181115724608885,0.21704612289480255,0.020801334848781928,-0.16312202059874767,-0.048481045017293715,0.019584675309547134,-0.21494379896064172,-0.03394762652952245,0.28830434509312614,0.28264628731002545,-0.214583200459848,0.17313924693036617,-0.30207969558280495,0.2027382020548436,-0.44583860288883725,0.2593629776305313,0.13367871538734116,-0.25829944638475744,0.1652023404182253,-0.8898008978731565,0.25465551794491254,-0.4078637682078307,-0.5030840104684863,0.2905121885233979,-0.20380589328563714,-0.29526926687691196,-0.31944781533878375,0.022337258751701956,-0.07508351596023467,0.09805779225174714,-0.07508351596023476,0.23875739433333876,-0.06512113567527146,0.2594798161665749,-0.06512113567527159,0.12506485540858717,-0.1565060817103977,-0.15395547674023657,-0.15769825886602148,0.16803152655840925,-0.5164494775731948,-0.43790214082544376,-0.5398791545372464,-0.29491124508944305,-0.8992265746680458,-0.5330203662649994,-0.09239702823336778,-0.07373286224195759,-0.06767350020079907,-0.14270076408699442,-0.22010734085347936,-0.4970377574118441,0.1574828300687854,0.11797402917415471,-0.2761239432017201,0.606926346596182,0.4509534447053124,-0.8100955109104406,-0.4428347928859727,-0.3387790799646142,-0.9642158274168073,1.0,-0.4166503373123951,0.17203852503198158,-0.2814724457506528,0.015249769024087936,-0.5282258469509625,0.5914011268996199,-0.46068724683675066,0.11517207803944922,-0.5271231698434526
