,Mismatch,avg_gap_dir_nosoc,avg_gap_nosoc,avg_workfunction,avg_c_11,avg_c_12,avg_E_B,avg_emass_vb_dir2,avg_emass_cb_dir2,avg_alphax,avg_alphaz,avg_cbm_hybridization,avg_cbm_score,avg_vbm_score,avg_cbm_s,avg_cbm_p,avg_cbm_pd,avg_vbm_d,avg_lattice_param,avg_PymatgenData maximum X,avg_PymatgenData minimum atomic_mass,avg_PymatgenData mean atomic_mass,avg_PymatgenData mean atomic_radius,avg_PymatgenData std_dev atomic_radius,avg_PymatgenData minimum thermal_conductivity,avg_PymatgenData mean thermal_conductivity,avg_cbm_spd_card,avg_cbmsite_vdw_radius,avg_cbmsite_mass,avg_cbmsite_nvalence,avg_cbmsite_mp,avg_cbmsite_atomic_vol,avg_vbmsite_mass,avg_vbmsite_en,avg_vbmsite_nvalence,avg_vbm_character_p,avg_cbm_character_d,avg_cbm_character_p,min_cbm,max_cbm,max_vbm,wf_diff,band_alignment_1,band_alignment_3
band_alignment_3,0.06303319761400446,-0.6085200593531105,-0.6056110397992417,-0.13725067554998638,0.18799355813739338,0.29813050737736424,-0.4185373073306629,0.054068321645780036,-0.08727470063862622,0.3131827900078224,-0.053047261223384296,-0.25407811200905545,0.1670738191748907,0.2266676833125924,-0.38323533520414127,-0.08121349494989388,0.2632093570011711,0.5219995127927157,-0.15024342601868404,0.05302966700758336,0.011112670338263441,0.1014786923501599,-0.0927220531074575,0.0453684031209038,0.0916424351087748,-0.27497671409414265,0.40216666801879014,0.04711867171587547,0.027219332964787665,0.13541450926457865,0.39865594370402974,-0.17347262470221766,0.16162455461854244,-0.5063311881516998,-0.2512569193136149,-0.49543992935395426,0.3538249430844201,-0.05193522389183634,-0.37675480137512435,0.2798592703569487,0.6418109934451888,0.6425725021647534,-0.47954211177483486,1.0
band_alignment_1,0.012996990110566972,0.4213330054545148,0.41524343942821673,0.06694596342632132,-0.04008279073407702,-0.10163706381312373,0.3285054297622943,-0.1258648371966541,0.11217430502747441,-0.1369939416605131,0.0504312029772949,-0.009216119158211727,0.048062121710231206,-0.06967038987896162,0.16992472748852058,-0.07939396733078076,-0.09578029253000316,-0.3165462900182262,0.042315213625852985,0.013518947268681508,-0.03707834292079979,-0.14742231097469555,0.014461105944013765,0.059256114093145136,-0.05651476579740008,0.03736249149605462,-0.1396777631875432,-0.03415032354443241,-0.20029550802406265,-0.16926307237575208,-0.16010074795570262,0.14193194732696812,-0.1669816990122563,0.33692539461315363,0.10668744532796831,0.32214393545002734,-0.07499634523041361,-0.05784274081261326,0.2152265862720317,-0.10160051379996685,-0.3836616271310675,-0.3644542219575209,1.0,-0.47954211177483486
wf_diff,0.06286435284881985,-0.3026876110569616,-0.31587266961662064,-0.007558457747838681,0.2408687044653182,0.25135749152236875,-0.16585692425204857,0.04490787091744928,-0.014498393250014683,0.22186017763971597,-0.01812525050989317,-0.3174824979158043,0.2560252517071501,0.345371782370726,-0.2196973542920031,-0.14439264225849208,0.11710145024019077,0.4563183182381747,-0.2824511828502942,0.3174240368044075,-0.1911143802137334,-0.1098693482642014,-0.2840304969022568,0.24384054577752992,-0.11048673827651682,-0.28442542818716854,0.24703555086210985,0.026699385924182677,-0.031900315787557455,0.07966595272338248,0.24841891058860469,-0.13011814594148322,0.018571760988961756,-0.34296976789916933,-0.30447413037973475,-0.4430676804343688,0.2478276778036261,-0.09160833309472087,-0.4582053306030092,0.30260463158198775,0.43808751983377764,1.0,-0.3644542219575209,0.6425725021647534
max_vbm,0.030132439284029817,-0.5824013306858757,-0.5831575244382108,-0.615048113968366,0.16441274969275493,0.15791657674920642,-0.5246959512928272,0.03402188323671994,-0.08999201013562547,0.34261799653168035,0.05722601807321371,-0.1522541960021888,0.1294580501944451,0.2006784001654369,-0.3943347858624667,-0.2594897301506156,0.33374183041700933,0.6549011963707259,-0.06734698207328702,-0.3102141532418687,0.2493897325209995,0.24007673255806583,0.2089535552887972,-0.33473175176290354,0.2815148272525685,-0.11076215567494976,0.4394474511561619,0.12152173112318021,0.05650033328714098,0.3969681177885296,0.5392674112536284,-0.1151408394446614,0.36221327130636877,-0.6939471455530366,-0.014476069828426495,-0.5879626731226848,0.4655687561407931,-0.15354441163729382,0.2294371636814473,0.6407787048351784,1.0,0.43808751983377764,-0.3836616271310675,0.6418109934451888
max_cbm,0.04304233019650483,0.06525253365579804,0.05947155887814279,-0.5913563713192763,0.12080776985051499,-0.08566858981012387,-0.0689834127186131,-0.08570923573876113,0.09086814851447601,0.07459943027710216,-0.037947605750248595,-0.1499305467672791,0.221290078008543,0.24449763411355446,-0.2306483584262641,-0.3063120569056286,0.22519390262223873,0.4108299322758896,-0.09858274057217466,-0.16003673847418537,0.08916137438816618,0.025218876653883938,0.17609494661579667,-0.2816103079438468,0.1347355531253491,0.044676158199447,0.2820153900738739,0.14488026392308673,-0.06965819349742652,0.2693121253450779,0.40549716090590937,0.08516835961096698,0.25942505381173986,-0.38319441024306783,0.07380300032593913,-0.4067797613021187,0.3491480514976457,-0.19339304962556061,0.35752978797464685,1.0,0.6407787048351784,0.30260463158198775,-0.10160051379996685,0.2798592703569487
min_cbm,-0.024502514475621778,0.24296222718310972,0.24295938572187606,-0.5877742237979011,-0.0764719016545417,-0.1490088072616607,0.0738737970148544,-0.15209436555238767,0.07240997383716281,0.028893387744030878,0.04852216407983115,0.15431232881066562,-0.07136269947802681,-0.09663014454458786,0.05750454532762397,-0.2512730558007031,0.045625538932570056,0.00997676012822947,0.14219603413549764,-0.486330642275739,0.2599082602428357,0.07362235600784331,0.4232677930379201,-0.47102621499155395,0.21941235990227198,0.21559819541520167,-0.012936089892089475,0.06938891656501818,-0.11548484108699336,0.16725387751383133,0.09733952043847169,0.13906120777938455,0.09664982583617956,-0.08143273937690383,0.3708348725562151,0.05452704931245036,0.10537781149361697,-0.17287600826185684,1.0,0.35752978797464685,0.2294371636814473,-0.4582053306030092,0.2152265862720317,-0.37675480137512435
avg_cbm_character_p,-0.010514310073061943,-0.022531500722064557,-0.03724710696437847,-0.06868156177764626,-0.21566168710563582,-0.14326374418294496,0.002661619217446382,0.05722462852023391,-0.07270071215414196,-0.06196654452673294,-0.07275572619188926,0.1854800792387399,-0.20976782262309285,0.018969137785815857,-0.23065265849490382,0.8426022412049728,-0.19119334450313652,-0.30337705771262324,0.19909715277049064,-0.09716700443198202,0.0642249506493086,0.1563304296775048,0.1158406009097009,0.0665193173045423,0.1394829624753845,0.24172133366194018,-0.02144679589313665,-0.2697762615064032,-0.0040884013793722855,0.32098602151941963,-0.2956332152595591,-0.10695154691691194,-0.0666411616604579,0.08914118353837287,-0.060480874171648304,0.26013339717130834,-0.40626149327436095,1.0,-0.17287600826185684,-0.19339304962556061,-0.15354441163729382,-0.09160833309472087,-0.05784274081261326,-0.05193522389183634
avg_cbm_character_d,0.09736020696041978,-0.25729347979125683,-0.26060740033057467,-0.17755279582096814,0.4237043169106696,0.2237907355217662,-0.17477930892738403,-0.11997073037239385,0.26661615765078656,0.17210442870538922,0.07133817677797766,-0.6648181725632994,0.6455168267266299,0.299263788018918,-0.7303857221140215,-0.5255858308882007,0.8516457526437405,0.6312599273098596,-0.3315043917768861,0.03058497580738977,-0.08841017716504629,-0.05014959885447684,-0.15240238087891178,0.10468865922673137,-0.005447796939736829,-0.30612827251382607,0.8809069951189417,0.42791927676572566,0.12950854477730703,0.3019327147714894,0.8447792777677029,0.10706467939060539,0.12256490710491817,-0.35031024756937224,-0.15398342635696022,-0.5479993883830062,1.0,-0.40626149327436095,0.10537781149361697,0.3491480514976457,0.4655687561407931,0.2478276778036261,-0.07499634523041361,0.3538249430844201
avg_vbm_character_p,-0.026114015571229346,0.41440496364493534,0.4033784214912628,0.27663936089766933,-0.2966835620970361,-0.2720959566676994,0.21003655350734582,0.015039264279940385,-0.016966894370403707,-0.29289361840607003,-0.17118349524145438,0.35086082878460195,-0.28383673409000065,-0.3567850121013251,0.3586694774049849,0.4287492244871719,-0.3589384474617711,-0.9244622377417949,0.3135248875772531,-0.21091711056707557,0.10925231267367684,0.07679329723847952,0.20878232863152837,-0.02014598560665845,0.09343351820717903,-0.05242142306103252,-0.4490016715962498,-0.19188608423293355,-0.06883846335009382,-0.3066285515878614,-0.599999076560604,0.11599377901009875,-0.3347396920618497,0.6793534214969128,0.32754339912279695,1.0,-0.5479993883830062,0.26013339717130834,0.05452704931245036,-0.4067797613021187,-0.5879626731226848,-0.4430676804343688,0.32214393545002734,-0.49543992935395426
avg_vbmsite_nvalence,-0.0038352988736458974,0.11025326010396028,0.16090253884838393,-0.22838647784511512,-0.5422617400779162,-0.4913374307537176,0.030835516551699617,0.03433282178364725,0.01812933751053355,-0.003877157433833575,0.07864431719001731,0.2312079198209449,-0.15082031554963188,-0.21467045116462774,0.1309195934048279,0.08583950705041832,-0.08770145869758315,-0.25769595497735037,0.5234903963078252,-0.5978445471549586,0.47736215510025704,0.31241819076854294,0.6079404482366418,-0.5445700112669043,0.23665031965114663,0.049802179821617595,-0.187121654205542,0.24657686719853059,0.09832386106979134,0.07079475226689123,-0.1920311617698869,0.27007366143486716,0.26665881803134145,-0.10973814091351512,1.0,0.32754339912279695,-0.15398342635696022,-0.060480874171648304,0.3708348725562151,0.07380300032593913,-0.014476069828426495,-0.30447413037973475,0.10668744532796831,-0.2512569193136149
