,lasso_coefs
avg_lattice_param,0.5043800564412053
avg_gap_nosoc,0.3555465353391984
avg_cbm_score,0.19932713516256811
min_cbm,0.1970588665370435
max_vbm,0.18992596088814362
avg_cbm_pd,0.15242367426635203
avg_c_11,0.12699188866710182
avg_PymatgenData minimum atomic_mass,0.11546010379848316
avg_gap_dir_nosoc,0.10384459093551067
avg_c_12,0.07635470138943734
avg_cbmsite_vdw_radius,0.06650839994125836
avg_cbm_s,0.059516035601205775
avg_vbmsite_en,0.056534233208161117
avg_cbm_character_p,0.05542286516486433
band_alignment_3,0.05177673529883802
avg_cbm_hybridization,0.04534242926921324
avg_vbmsite_nvalence,0.03939874779822278
avg_vbm_d,0.03839769753478906
avg_alphaz,0.03664181341110766
avg_alphax,0.026499817621914282
avg_E_B,0.02479826438102835
avg_emass_cb_dir2,0.021270842040365442
avg_cbmsite_nvalence,0.0033369960255389204
avg_PymatgenData mean thermal_conductivity,-0.0006588768819273188
avg_cbmsite_mass,-0.008737737415787095
avg_emass_vb_dir2,-0.011521847819718455
avg_cbm_p,-0.015040727089926192
avg_vbmsite_mass,-0.019934201812847933
avg_PymatgenData minimum thermal_conductivity,-0.022200850279555394
avg_vbm_character_p,-0.04216101702445935
max_cbm,-0.042436328856063056
Mismatch,-0.04431539033804355
avg_cbm_character_d,-0.04757451897222844
avg_cbmsite_mp,-0.0512706525563339
avg_vbm_score,-0.05502978651559049
avg_PymatgenData maximum X,-0.06699763361215713
avg_cbm_spd_card,-0.07049606290973388
band_alignment_1,-0.07310342116500498
avg_PymatgenData std_dev atomic_radius,-0.08230820448880938
avg_cbmsite_atomic_vol,-0.10288888632074947
wf_diff,-0.13093095692104895
avg_PymatgenData mean atomic_mass,-0.1824934476272501
avg_PymatgenData mean atomic_radius,-0.1909825694471368
avg_workfunction,-0.2435174370508121
