,lasso_coefs
avg_gap_nosoc,0.3832348424380178
avg_gap_dir_nosoc,0.16067965738969103
avg_cell_area,0.11380742592538398
avg_c_11,0.06460225501341661
avg_vbmsite_nvalence,0.050840614453983975
max_cbm,0.050528623733847415
avg_emass_cb_dir1,0.04749659204438244
avg_vbm_pd,0.03828086855627207
avg_cbmsite_vdw_radius,0.035069030394197086
avg_alphaz,0.027676051524066252
avg_vbm_character_s,0.00947146652945267
avg_cbm_score,0.008075380838000388
avg_cbm_hse,0.007794424925496704
avg_vbmsite_en,0.0069288891860450575
avg_vbm_mend_no,0.0036119771553411546
band_alignment_2,0.00045398284993089445
avg_cbmsite_mass,-0.0003006463848338375
avg_cbmsite_atomic_radius,-0.000439544370612598
avg_vbm_sd,-0.002368653877092861
avg_PymatgenData minimum melting_point,-0.004756774902998536
avg_emass_vb_dir2,-0.006624251371609474
avg_vbm_s,-0.008971223315482028
avg_PymatgenData mean melting_point,-0.014183500317929471
Mismatch,-0.014448841176092946
avg_alphax,-0.016892612851123465
avg_workfunction,-0.01711942868474435
avg_PymatgenData range atomic_radius,-0.01741417631146644
avg_evac,-0.019820985036818378
avg_vbm_spd_card,-0.029982247192075803
avg_cbm_character_d,-0.041170876141411905
band_alignment_1,-0.05018555875904014
avg_PymatgenData minimum thermal_conductivity,-0.07571085757429534
max_vbm,-0.12237951438396112
wf_diff,-0.26313887245032286
