,Mismatch,avg_workfunction,avg_c_11,avg_c_12,avg_emass_vb_dir1,avg_emass_cb_dir2,avg_alphax,avg_alphaz,avg_cell_area,avg_vbm_score,avg_cbm_pd,avg_vbm_sd,avg_vbm_pd,avg_lattice_param,avg_PymatgenData maximum X,avg_PymatgenData range atomic_mass,avg_PymatgenData mean atomic_mass,avg_PymatgenData std_dev atomic_mass,avg_PymatgenData range atomic_radius,avg_PymatgenData minimum thermal_conductivity,avg_PymatgenData maximum thermal_conductivity,avg_PymatgenData minimum melting_point,avg_PymatgenData maximum melting_point,avg_cbmsite_mp,avg_cbmsite_atomic_vol,avg_vbmsite_mass,min_cbm,max_cbm,min_vbm,max_vbm,wf_diff
wf_diff,0.09856968662358262,-0.0483584003858121,0.23337988997042053,0.2871929594744225,-0.08393961274426788,-0.026218162739194726,0.28737272535797825,-0.00978515746153935,-0.26632385476132964,0.2978846338681351,0.09825834569638789,-0.013424636032808801,0.18939455478491143,-0.2677317116561033,0.3400623691588643,0.1431358943231042,-0.09430317540478236,0.14313589432310417,0.2078520471260411,-0.11755842410742552,-0.24804398292433508,-0.18434439111517967,0.2894816156477683,0.2832660504175719,-0.1461390133873781,0.04811360525515739,-0.48674033207986955,0.3447626991187424,-0.13343099391791258,0.5166583930348518,1.0
max_vbm,0.08263354316966198,-0.49208701174475994,0.155729087212871,0.17907294535389612,-0.002313161968094207,-0.057171429824515715,0.289033007034222,0.04696969542596489,-0.17837505262210274,0.17829778001638338,0.37068406130771014,0.24870542111853117,0.29201506911110886,-0.16434652341514874,-0.17930761338116888,-0.0036586598299708246,0.19889778647378012,-0.003658659829970826,-0.2590942608169905,0.256596430937824,-0.14292360265731202,0.32711415079461437,0.5362018862306287,0.5239345312370641,-0.16650216325169784,0.34270330081747147,0.04208243278555935,0.6678682233450861,0.38606995204846495,1.0,0.5166583930348518
min_vbm,0.04962264913248722,-0.5081750286819546,0.08229659539485767,0.09397080741010014,0.05275673584076313,-0.13894273311398947,0.06536683161611494,0.1292147876334973,0.02341855593673444,-0.008074889895308456,0.21698839248691862,0.22707221159514962,0.01355935389030259,0.030802942440640656,-0.5912703528075862,-0.08350441864022691,0.2959570328931395,-0.08350441864022688,-0.483415751264733,0.41840605898244837,-0.07758663976280136,0.5557725034085966,0.24416515463159214,0.23112316764633925,-0.2286949413200335,0.22632370246361763,0.30959797184719196,0.13474743681693446,1.0,0.38606995204846495,-0.13343099391791258
max_cbm,0.05228995141544548,-0.5982695455568936,0.1849511780321143,-0.03415405491724867,0.07972628153285083,0.09170601452449965,0.02353413116963202,-0.04687239098823341,-0.2044693087551883,0.26798228739665375,0.21617244799176688,0.11266496647937488,0.0789214696941284,-0.1976451786419186,-0.07282703615119346,-0.17382725806035984,-0.017659114847816106,-0.17382725806035973,-0.28269283642217824,0.10151097527375319,0.10479264140195965,0.14221871299264036,0.4295397144398199,0.41929646701180767,-0.00301967418724017,0.2708208099837984,0.2975670905435067,1.0,0.13474743681693446,0.6678682233450861,0.3447626991187424
min_cbm,-0.02766469568951764,-0.48931055766751563,0.0021713709687301345,-0.1964315149466953,0.17773245083459996,0.08554757777079541,-0.16855666294373567,0.007715760270866848,0.02369518502155188,-0.06932420496797304,0.0042383124982713904,0.06376378618632011,-0.20667625863954087,0.03148053852945642,-0.39372921680666406,-0.3798605069188826,-0.024877668379469198,-0.37986050691888273,-0.41845052997809035,0.15804853163358126,0.2683902832532887,0.2769041030257604,0.05294438316556626,0.024773261961380015,0.06934452635383563,-0.007681059398294218,1.0,0.2975670905435067,0.30959797184719196,0.04208243278555935,-0.48674033207986955
avg_vbmsite_mass,0.04985820253478034,-0.2709922916226689,-0.30101584107449714,-0.19918873828561504,-0.04372094697795444,0.03673267231554246,0.08096194220134835,0.10120941732902036,0.3496595756139478,-0.17463346852928008,0.23160667800031656,0.3518634102528967,0.24891799442662166,0.35223527810821625,-0.13165732074313188,0.11267692292650178,0.6197697057884616,0.11267692292650192,-0.3300800064934549,0.3158558955680732,0.12341309555889447,0.2411717496548625,0.10033309611783907,0.12616942703318426,0.11428782615473287,1.0,-0.007681059398294218,0.2708208099837984,0.22632370246361763,0.34270330081747147,0.04811360525515739
avg_cbmsite_atomic_vol,-0.050993833291928865,0.023229519361835815,-0.549108884506765,-0.41684061615572093,-0.030014051872572545,0.33078505982269074,0.055957247271416016,0.05576082698416696,0.58931299243886,-0.10007711832633544,-0.016940812063246616,-0.12523824606520467,-0.10230557885560448,0.5869959874706066,-0.00119508410137367,0.13778526134732,0.3837865424474778,0.13778526134731983,0.3405337670816727,-0.06711596901669371,-0.02569558805776737,-0.0006501674286890649,-0.3042648117817411,-0.2349518161926854,1.0,0.11428782615473287,0.06934452635383563,-0.00301967418724017,-0.2286949413200335,-0.16650216325169784,-0.1461390133873781
avg_cbmsite_mp,0.1574156560075448,-0.23528977236117857,0.588262783807629,0.30231201027891724,0.07276736407812028,0.08911842595795268,0.10994647363386911,0.005751544580555637,-0.5464355845420844,0.4328549885009735,0.6712640622779721,0.2792513996559665,0.38557186309842373,-0.5559347885158681,0.015333647104358876,-0.0041215865305093795,-0.18961395915296522,-0.0041215865305092485,-0.08929902119065684,0.013572564137975862,-0.1563105086432357,0.07425651794075126,0.9800242592957389,1.0,-0.2349518161926854,0.12616942703318426,0.024773261961380015,0.41929646701180767,0.23112316764633925,0.5239345312370641,0.2832660504175719
avg_PymatgenData maximum melting_point,0.1412510837850313,-0.25615507756115724,0.6337648671991303,0.3521211197181569,0.0822164139229879,0.10440805264631992,0.0926181463167143,0.018567623629876313,-0.5782611599697208,0.42939181570714663,0.6595548480185314,0.2648386580507528,0.38728911136691674,-0.5892999441689949,0.008981431066245556,-0.03724918941676071,-0.23283088665864082,-0.03724918941676068,-0.10119649445153478,0.037918264971324965,-0.0689602427610086,0.06891133023314255,1.0,0.9800242592957389,-0.3042648117817411,0.10033309611783907,0.05294438316556626,0.4295397144398199,0.24416515463159214,0.5362018862306287,0.2894816156477683
avg_PymatgenData minimum melting_point,0.05666313777440052,-0.3699408308016375,-0.29790579964530495,-0.2959682288947129,0.034778667420823216,-0.0979905649894991,0.04669539052072724,-0.027338664823258255,0.29987023663387885,-0.12420212093330525,0.16455154144368161,-0.1306427135695695,0.041256691942294206,0.32496330736252216,-0.8742840759988838,-0.20602811073452565,0.39986089865707813,-0.20602811073452582,-0.6243958346829683,0.7142289776574535,0.05841830282142485,1.0,0.06891133023314255,0.07425651794075126,-0.0006501674286890649,0.2411717496548625,0.2769041030257604,0.14221871299264036,0.5557725034085966,0.32711415079461437,-0.18434439111517967
