,lasso_coefs
avg_PymatgenData mean atomic_radius,0.09550103602550382
avg_vbmsite_en,0.04908614868304178
avg_vbm_score,0.03743848954798166
avg_evac,0.03540005053345407
avg_cbm_p,0.032127177071415096
max_cbm,0.03191318323053845
avg_cbm,0.02799706713793746
avg_vbm_sp,0.019341244737243475
avg_cbm_hse,0.01737596141488117
avg_vbm_sd,0.015400642039502022
avg_cbm_score,0.014592533547180948
avg_cbmsite_nvalence,0.008938507207144931
avg_cbm_sd,0.008758083914041282
avg_emass_cb_dir2,0.008599203973357212
band_alignment_2,0.005406587122452784
avg_cbm_character_p,0.0037276832060183862
avg_vbm_pd,-0.006688852088149022
avg_cbm_mend_no,-0.007055509322876763
avg_E_B,-0.012995132935996042
avg_emass_vb_dir2,-0.014911800427744818
avg_emass_cb_dir1,-0.018542188213690435
avg_cbmsite_mp,-0.026768701986830575
avg_vbmsite_atomic_radius,-0.028518679171150925
avg_cbm_hybridization,-0.02894614659758164
avg_cbm_pd,-0.03232528511088012
avg_alphax,-0.03500229159655186
wf_diff,-0.042452601276492585
avg_PymatgenData mean melting_point,-0.04888112775293714
avg_PymatgenData minimum X,-0.05219744085862885
avg_c_12,-0.06451112809476388
avg_PymatgenData range atomic_radius,-0.10863406547936201
