Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE
XGBoost,1.00,0.01,0.73,0.32,0.71,0.31,0.03
LASSO,0.81,0.27,0.69,0.35,0.34,0.36,0.07
Ridge,0.80,0.27,0.69,0.35,0.22,0.37,0.07
SVR (kernel=rbf),0.91,0.16,0.76,0.29,0.72,0.31,0.03
SVR (kernel=linear),0.78,0.25,0.71,0.34,0.43,0.36,0.05
AdaBoost,0.83,0.29,0.56,0.43,0.63,0.38,0.03
KRR (kernel=polynomial),0.94,0.14,0.73,0.32,-8670.74,4.57,8.48
RFR,0.96,0.12,0.64,0.37,0.66,0.34,0.04
GBT,0.97,0.11,0.66,0.37,0.69,0.32,0.03
SEM,0.94,0.13,0.77,0.29,0.74,0.29,0.03
SVR (kernel=rbf),0.91,0.16,0.76,0.29,0.72,0.31,0.03
