Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE
XGBoost,1.00,0.36,0.72,17.92,0.56,22.17,3.09
LASSO,0.81,16.23,0.65,21.05,0.61,21.81,0.73
Ridge,0.83,15.17,0.71,19.18,0.57,23.59,2.21
SVR (kernel=rbf),0.12,34.19,0.09,34.87,0.07,35.59,4.47
SVR (kernel=linear),0.62,19.83,0.33,21.98,0.49,25.38,1.73
AdaBoost,0.85,17.64,0.71,21.13,0.48,27.56,2.43
KRR (kernel=polynomial),0.94,8.23,0.44,22.40,0.58,21.73,4.04
RFR,0.94,8.33,0.68,18.55,0.53,23.64,3.36
GBT,0.99,4.50,0.70,19.61,0.56,22.07,3.10
SEM,0.98,5.95,0.72,19.08,0.56,22.65,2.26
XGBoost,1.00,0.36,0.72,17.92,0.56,22.17,3.09
LASSO,0.81,16.23,0.65,21.05,0.61,21.81,0.73
Ridge,0.83,15.17,0.71,19.18,0.57,23.59,2.21
SVR (kernel=rbf),0.12,34.19,0.09,34.87,0.07,35.59,4.47
SVR (kernel=linear),0.62,19.83,0.33,21.95,0.49,25.38,1.73
AdaBoost,0.85,17.19,0.70,20.58,0.43,27.35,2.49
KRR (kernel=polynomial),0.94,8.23,0.44,22.40,0.58,21.73,4.04
RFR,0.94,8.23,0.69,18.22,0.55,23.46,3.58
GBT,0.99,4.50,0.70,19.73,0.57,22.07,3.13
SEM,0.93,9.65,0.78,17.40,0.61,21.10,2.85
