Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE
XGBoost,1.00,0.01,0.75,0.30,0.69,0.31,0.04
LASSO,0.83,0.24,0.68,0.36,0.72,0.31,0.03
Ridge,0.82,0.25,0.68,0.36,0.67,0.32,0.03
SVR (kernel=rbf),0.91,0.15,0.78,0.28,0.70,0.31,0.05
SVR (kernel=linear),0.80,0.23,0.66,0.35,0.72,0.30,0.04
AdaBoost,0.83,0.28,0.63,0.40,0.62,0.37,0.02
KRR (kernel=polynomial),0.95,0.13,0.77,0.29,-13966.72,5.73,10.83
RFR,0.95,0.12,0.71,0.32,0.67,0.33,0.04
GBT,0.98,0.10,0.69,0.34,0.66,0.32,0.04
SEM,0.95,0.11,0.81,0.25,0.72,0.29,0.05
SVR (kernel=rbf),0.91,0.15,0.78,0.28,0.70,0.31,0.05
