Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE
XGBoost,1.00,0.01,0.82,0.27,0.82,0.28,0.03
LASSO,0.84,0.27,0.75,0.33,0.64,0.34,0.06
Ridge,0.84,0.27,0.74,0.34,0.47,0.35,0.08
SVR (kernel=rbf),0.92,0.15,0.77,0.32,0.77,0.30,0.06
SVR (kernel=linear),0.83,0.26,0.74,0.34,0.75,0.34,0.05
AdaBoost,0.90,0.24,0.79,0.30,0.79,0.32,0.03
KRR (kernel=polynomial),0.96,0.13,0.67,0.32,-37511.45,10.94,21.33
RFR,0.97,0.11,0.81,0.28,0.81,0.29,0.03
GBT,0.98,0.10,0.81,0.29,0.82,0.29,0.03
SEM,0.99,0.06,0.82,0.27,0.83,0.27,0.03
SVR (kernel=rbf),0.92,0.15,0.77,0.32,0.77,0.30,0.06
