Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE
XGBoost,1.00,0.01,0.79,0.27,0.65,0.31,0.02
LASSO,0.75,0.28,0.78,0.28,0.65,0.33,0.02
Ridge,0.75,0.28,0.78,0.29,0.66,0.32,0.02
SVR (kernel=rbf),0.88,0.16,0.77,0.28,0.65,0.32,0.04
SVR (kernel=linear),0.73,0.26,0.79,0.27,0.64,0.33,0.03
AdaBoost,0.82,0.28,0.70,0.33,0.59,0.36,0.01
KRR (kernel=polynomial),0.92,0.15,0.72,0.30,0.63,0.33,0.03
RFR,0.95,0.12,0.79,0.27,0.64,0.33,0.02
GBT,0.97,0.11,0.74,0.29,0.63,0.32,0.02
SEM,0.96,0.10,0.80,0.27,0.68,0.31,0.02
SVR (kernel=rbf),0.88,0.16,0.77,0.28,0.65,0.32,0.04
