Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE
XGBoost,1.00,0.01,0.73,0.27,0.56,0.31,0.01
LASSO,0.71,0.26,0.69,0.30,-1.52,0.38,0.12
Ridge,0.71,0.26,0.69,0.30,-1.86,0.38,0.13
SVR (kernel=rbf),0.87,0.14,0.76,0.26,0.59,0.30,0.01
SVR (kernel=linear),0.69,0.24,0.74,0.28,-0.14,0.33,0.06
AdaBoost,0.77,0.28,0.62,0.34,0.48,0.37,0.03
KRR (kernel=polynomial),0.91,0.13,0.66,0.28,-233948.42,21.53,42.41
RFR,0.94,0.12,0.72,0.28,0.54,0.32,0.02
GBT,0.97,0.10,0.68,0.29,0.56,0.31,0.02
SEM,0.92,0.11,0.77,0.25,0.60,0.29,0.02
SVR (kernel=rbf),0.87,0.14,0.76,0.26,0.59,0.30,0.01
