Model Name,Train R2,Train MAE,Test R2,Test MAE,Mean CV R2,Mean CV MAE,Std CV MAE

##### SEM with RIDGE instead of SVR (rbf) #####

XGBoost,1.00,0.01,0.71,0.14,0.56,0.15,0.02

LASSO,0.75,0.12,0.69,0.15,0.57,0.15,0.02

Ridge,0.75,0.12,0.69,0.15,0.58,0.15,0.02

SVR (kernel=rbf),0.90,0.09,0.68,0.16,0.54,0.16,0.01

SVR (kernel=linear),0.72,0.12,0.65,0.16,0.54,0.15,0.02

AdaBoost,0.81,0.13,0.57,0.19,0.46,0.18,0.02

KRR (kernel=polynomial),0.92,0.07,0.53,0.18,0.44,0.17,0.02

RFR,0.95,0.06,0.65,0.15,0.56,0.16,0.01

GBT,0.96,0.05,0.67,0.15,0.57,0.16,0.02

SEM,0.87,0.09,0.72,0.14,0.59,0.14,0.02

