,Unlabeled_Ecbm
0,-3.8396150175860857
1,-3.6845396769828556
2,-4.469130750930859
3,-4.7043224802638814
4,-5.0661960193229145
5,-5.026483863528759
6,-5.177197095148491
7,-4.511359254930742
8,-5.04317467036408
9,-4.166250677981578
10,-5.436231380063904
11,-5.263009424818143
12,-4.574124214491372
13,-4.435988668013298
14,-4.653269123122273
15,-4.147304067934319
16,-4.428082253661026
17,-4.262582512137916
18,-5.28952466715597
19,-4.395420485261689
20,-4.269842399673989
21,-4.2167681537983706
22,-3.6685271977919616
23,-4.3480912983582245
24,-4.264496316057166
25,-4.494595913607269
26,-3.7916742596013773
27,-4.062681106369146
28,-4.612565547706831
29,-4.69721997041098
30,-3.475177315134573
31,-3.6464289408962562
32,-3.6258241944260163
33,-4.410630901305715
34,-4.582268528390827
35,-5.404485867932054
36,-4.833001972360792
37,-4.529838873065041
38,-4.107575518289362
39,-4.455623085490183
40,-4.206847601408745
41,-4.980888538658856
42,-4.189992847491566
43,-4.768640165298559
44,-4.133903266950747
45,-4.735970879211671
46,-4.989559641734681
47,-5.162440433825827
48,-5.215140825792411
49,-4.358767520907833
50,-4.241296072621622
51,-4.511534878962762
52,-4.866122326415656
53,-4.473699859867896
54,-4.015340323749117
55,-3.860644499107715
56,-3.522158157898027
57,-4.154767826645502
58,-4.56329961606709
59,-4.342595390503018
60,-4.126690374475141
61,-3.9388955143178777
62,-4.371324156013274
63,-4.187630293057935
64,-4.238195535250746
65,-5.184421959111045
66,-5.429538713445587
67,-4.2754610930795796
68,-4.94459743328384
69,-4.354960006871072
70,-4.024978226282029
71,-3.9221414723198667
72,-5.329366777730561
73,-5.142136104218933
74,-5.224197367134062
75,-4.838539389254929
76,-4.204182442009624
77,-5.3577998365011315
78,-5.414790748285006
79,-5.031355798191835
80,-5.353570226508637
81,-5.102846244483982
82,-5.250018341423168
83,-4.289979567024003
84,-4.802783560513233
85,-4.893635565691032
86,-5.586013522310637
87,-5.1702147203978335
88,-5.267631405527618
89,-5.302051192912896
90,-5.664469253266187
91,-5.373317487644066
92,-5.483125682768666
93,-5.593780703701205
94,-5.783017602744683
95,-5.354926150974695
96,-4.76663911663211
97,-5.286359678314368
98,-6.293352990889498
99,-5.329202866669365
100,-5.163613614537259
