Eb,do,Eg,IE,EA,wf,CBM,VBM,Eg_type
21.60455562,3.49248,2.0369,5.4131,3.3762,5.1892,-3.379,-5.414,ID
27.45824124,3.9982,2.6814,6.5491,3.8677,6.3267,-3.868,-6.548,ID
28.57049314,3.99679,3.2383,7.2829,4.0446,7.08,-4.037,-7.304,ID
21.25032426,3.71803,3.5371,7.7716,4.2345,7.5416,-4.236,-7.77,ID
32.90301839,4.01893,2.1094,6.0778,3.9684,5.8492,-3.97,-6.076,ID
33.32608385,4.01039,3.5795,6.8583,3.2788,6.6323,-3.277,-6.86,ID
24.22885775,3.98996,3.2958,7.5845,4.2887,7.3511,-4.268,-7.584,ID
31.36268921,4.00428,3.6628,6.9344,3.2716,6.7001,-3.261,-6.936,ID
222.2299498,3.57972,1.2531,5.5263,4.2732,5.3105,-4.277,-5.529,ID
17.35315724,2.99725,1.6119,5.1586,3.5467,4.9538,-3.547,-5.159,D
33.35052097,4.01034,3.2002,6.6405,3.4403,6.4319,-3.425,-6.642,ID
30.37684339,4.10975,2.1739,6.1565,3.9826,5.9319,-3.983,-6.154,ID
266.9171976,3.84527,-0.4257,5.5904,6.0161,5.3412,-5.351,-5.072,M
351.3369721,3.14174,-0.0136,5.2864,5.3,5.2833,-5.263,-5.288,M
155.2552706,3.98493,0.0021,3.7823,3.7802,3.7767,-3.74,-3.814,M
7404.949461,3.94636,-0.8548,8.8895,9.7443,8.4205,-8.78,-8.025,M
1849.590446,3.85972,-0.1541,7.3999,7.554,7.6927,-7.798,-7.276,M
245.5103523,3.11441,-0.41,4.5967,5.0067,4.9308,-4.997,-4.597,M
134.4908424,2.66011,-0.0291,5.5873,5.6164,5.6292,-5.616,-5.642,M
292.7375554,3.98493,0.1435,3.769,3.6255,3.6979,-3.62,-3.777,D
1086.815782,3.92868,-1.2403,5.7186,6.9589,5.8673,-6.909,-5.739,M
-37.31245995,2.90232,1.0638,8.0194,6.9556,7.7935,-6.954,-8.018,ID
184.3547768,3.60824,1.1867,6.2775,5.0908,6.0774,-5.085,-6.297,ID
47.5084359,3.83321,1.6226,6.9006,5.278,6.6939,-5.228,-6.919,ID
0.620766292,3.97456,1.9901,7.1042,5.1141,6.8817,-5.113,-7.104,D
46.28573837,4.02959,2.0855,5.9695,3.884,5.7511,-3.885,-5.971,ID
-3.103779786,3.8901,2.0558,7.0368,4.981,6.8119,-4.981,-7.037,D
3.439802367,3.93038,2.0298,6.9965,4.9667,6.7796,-4.967,-6.997,D
268.5182682,3.48786,0.2017,5.4468,5.2451,5.3381,-5.225,-5.451,ID
51.90875218,3.83541,0.7835,5.9766,5.1931,5.7592,-5.138,-5.972,ID
46.30616239,3.97844,0.8116,6.0648,5.2532,5.8436,-5.2,-6.069,ID
207.5902892,3.01982,1.5042,6.9593,5.4551,6.7416,-5.438,-6.96,ID
67.09265295,3.81578,1.3142,5.6479,4.3337,5.441,-4.339,-5.663,ID
55.86064797,3.72713,1.3793,5.6471,4.2678,5.4364,-4.274,-5.653,ID
42.11284362,4.02186,2.1677,5.8288,3.6611,5.5975,-3.66,-5.832,ID
46.60258427,4.2708,2.4454,6.3208,3.8754,6.1069,-3.829,-6.324,ID
61.01551815,3.59144,1.7271,6.2984,4.5713,6.1072,-4.562,-6.322,ID
260.4290224,3.41385,0.8899,6.1218,5.2319,5.9234,-5.215,-6.149,ID
40.84403544,3.99749,2.0231,6.1299,4.1068,5.9024,-4.11,-6.133,ID
172.0791251,3.07429,1.2421,6.5388,5.2967,6.3292,-5.298,-6.541,ID
274.1985333,3.48097,0.6926,6.1538,5.4612,5.9272,-5.437,-6.165,ID
234.9581901,3.63233,1.2418,6.5002,5.2584,6.2791,-5.219,-6.501,ID
133.9658393,3.6335,1.1315,6.5031,5.3716,6.2864,-5.336,-6.503,ID
47.28136099,3.65968,1.2118,5.6297,4.4179,5.4388,-4.423,-5.659,ID
-34.51589477,3.77693,1.9595,6.9175,4.958,6.7084,-4.958,-6.917,D
8.534950608,4.04167,1.5278,6.5309,5.0031,6.3152,-5.004,-6.53,D
331.3128497,3.7123,0.2516,5.4533,5.2017,5.319,-5.177,-5.452,ID
27.35144872,3.12513,1.0833,7.7658,6.6825,7.5592,-6.681,-7.773,ID
-5.657650063,3.67995,0.8912,6.2614,5.3702,6.0446,-5.322,-6.268,ID
256.5297033,3.0092,3.5087,8.0672,4.5585,7.8624,-4.557,-8.085,ID
-1.537925291,3.77869,2.4279,7.5578,5.1299,7.3393,-5.129,-7.557,ID
-3.031897412,3.74611,2.0085,7.3098,5.3013,7.0979,-5.299,-7.309,D
38.57987192,4.02629,3.6464,6.4307,2.7843,6.2128,-2.734,-6.43,ID
29.66818309,3.9194,2.2044,6.4983,4.2939,6.2831,-4.292,-6.498,ID
-15.78588904,3.35822,1.6804,8.1041,6.4237,7.8776,-6.422,-8.104,ID
338.107761,3.68251,1.1264,6.4318,5.3054,6.2203,-5.281,-6.431,ID
46.24598919,3.65061,-0.0247,5.2331,5.2578,5.2122,-5.157,-5.281,M
-8.845761356,3.30091,0.2181,6.8864,6.6683,6.7786,-6.668,-6.902,ID
9.473059954,2.97295,0.6585,6.5575,5.899,6.3492,-5.9,-6.566,ID
71.75649905,2.93821,-0.5203,5.195,5.7153,5.5516,-5.628,-5.223,M
2.34203323,3.11847,-0.2077,5.4169,5.6246,5.467,-5.65,-5.486,M
10714.73962,3.5081,-0.7004,7.9048,8.6052,7.25,-7.7,-6.272,M
65.58028927,3.58395,-0.2121,4.8954,5.1075,5.0076,-5.195,-5.01,M
-3.265820593,2.9299,0.8167,6.9753,6.1586,6.8256,-6.157,-7.045,ID
91.49366603,3.9969,1.9424,6.0463,4.1039,5.8254,-4.05,-6.047,ID
62.46953118,4.19308,1.1966,5.0727,3.8761,4.8614,-3.817,-5.078,ID
261.6620668,4.02474,0.5001,4.8331,4.333,4.6065,-4.274,-4.836,ID
86.27180732,4.01513,1.57,5.826,4.256,5.6099,-4.257,-5.827,ID
52.05257909,3.9819,1.1482,5.7045,4.5563,5.4932,-4.555,-5.71,ID
-83.82878281,3.39626,0.2665,5.2594,4.9929,5.1238,-4.981,-5.264,ID
36.03130892,4.00457,0.3827,5.5079,5.1252,5.3136,-5.126,-5.512,ID
47.31015727,3.70961,1.4754,0.2168,-1.2586,0.0,-4.705,-6.189,ID
58.74853539,3.70216,1.6949,6.316,4.6211,6.1109,-4.623,-6.317,D
99.7046069,3.60731,1.4698,5.3921,3.9223,5.1812,-3.922,-5.395,ID
77.91845348,3.55812,1.8374,5.9061,4.0687,5.6911,-4.069,-5.906,D
234.3960131,3.52144,0.1158,3.5145,3.3987,3.5439,-3.387,-3.7,ID
69.5638177,4.15778,1.0833,5.0711,3.9878,4.868,-3.989,-5.083,ID
-9.431829685,3.92146,0.039,5.1903,5.1513,5.1598,-5.15,-5.189,ID
78.69078618,3.76403,1.0015,5.3299,4.3284,5.1149,-4.327,-5.332,ID
31.59754007,4.11536,1.2875,5.332,4.0445,5.116,-4.044,-5.332,ID
94.61354155,3.51919,1.4876,5.8996,4.412,5.6951,-4.412,-5.9,D
47.84644975,3.79546,0.8662,5.5763,4.7101,5.3683,-4.712,-5.576,D
95.34502181,3.70078,1.419,5.8681,4.4491,5.6551,-4.437,-5.868,ID
83.98627742,3.70988,1.9683,5.591,3.6227,5.3838,-3.623,-5.601,ID
69.82940517,3.97729,0.9356,5.2228,4.2872,5.0079,-4.287,-5.225,ID
51.93171702,3.97638,0.7276,5.1811,4.4535,4.9627,-4.453,-5.18,ID
45.12055258,3.29005,0.4488,6.3218,5.873,6.0968,-5.876,-6.321,ID
52.60562704,3.92709,1.2454,5.808,4.5626,5.5957,-4.563,-5.811,ID
54.67356607,3.94135,1.0126,5.3053,4.2927,5.0839,-4.293,-5.308,ID
63.01727007,3.73976,1.1241,5.6748,4.5507,5.4574,-4.552,-5.68,ID
102.4242946,3.8993,1.1609,5.3428,4.1819,5.1313,-4.173,-5.342,ID
67.94876052,4.1787,1.6874,5.0933,3.4059,4.8801,-3.406,-5.1,ID
-8.075385816,4.02279,0.4881,5.6809,5.1928,5.4602,-5.193,-5.68,ID
55.69537691,3.97562,1.4553,5.9261,4.4708,5.7108,-4.471,-5.928,ID
55.20977906,4.11361,1.5897,5.6808,4.0911,5.4733,-4.09,-5.681,D
47.69451352,3.88798,0.8547,5.6329,4.7782,5.4335,-4.777,-5.653,ID
-20.04280331,4.18312,0.8434,5.4944,4.651,5.2935,-4.65,-5.511,ID
54.22917836,3.36292,1.3595,6.0499,4.6904,5.8313,-4.69,-6.053,ID
45.24499151,2.98828,0.3617,5.7725,5.4108,5.5908,-5.411,-5.773,D
19.62440378,3.9355,0.0598,4.7641,4.7043,4.7307,-4.704,-4.764,D
44.42662104,3.24974,1.2839,5.9972,4.7133,5.7772,-4.712,-6.0,ID
