Formula,band_alignment,Mismatch,prototype,Eb,do,Eg,IE,EA,wf,CBM,VBM,Eg_type
BaCl2-I2Pb,Type 1,0.686355012,MoS2-MoS2,27.45824124,3.9982,2.6814,6.5491,3.8677,6.3267,-3.868,-6.548,ID
Br2Pb-Br2Sr,Type 1,1.861851296,MoS2-MoS2,28.57049314,3.99679,3.2383,7.2829,4.0446,7.08,-4.037,-7.304,ID
Cl2Pb-Cl2Sr,Type 1,1.053188054,MoS2-MoS2,21.25032426,3.71803,3.5371,7.7716,4.2345,7.5416,-4.236,-7.77,ID
Br2Sr-I2Sn,Type 1,0.697159142,MoS2-MoS2,32.90301839,4.01893,2.1094,6.0778,3.9684,5.8492,-3.97,-6.076,ID
BaBr2-I2Sr,Type 2,1.216596052,MoS2-MoS2,33.32608385,4.01039,3.5795,6.8583,3.2788,6.6323,-3.277,-6.86,ID
Br2Ca-Cl2Pb,Type 2,1.476337329,MoS2-MoS2,24.22885775,3.98996,3.2958,7.5845,4.2887,7.3511,-4.268,-7.584,ID
BaCl2-I2Sr,Type 2,2.227266609,MoS2-MoS2,31.36268921,4.00428,3.6628,6.9344,3.2716,6.7001,-3.261,-6.936,ID
CaI2-Cl2Sr,Type 2,3.747203208,MoS2-MoS2,33.35052097,4.01034,3.2002,6.6405,3.4403,6.4319,-3.425,-6.642,ID
I2Pb-I2Sn,Type 2,1.858432876,MoS2-MoS2,30.37684339,4.10975,2.1739,6.1565,3.9826,5.9319,-3.983,-6.154,ID
Br2Ca-GeI2,Type 1,0.04022943,CdI2-CdI2,46.28573837,4.02959,2.0855,5.9695,3.884,5.7511,-3.885,-5.971,ID
CaCl2-GeI2,Type 1,3.858922156,CdI2-CdI2,42.11284362,4.02186,2.1677,5.8288,3.6611,5.5975,-3.66,-5.832,ID
CdI2-I2Mg,Type 1,2.742854224,CdI2-CdI2,46.60258427,4.2708,2.4454,6.3208,3.8754,6.1069,-3.829,-6.324,ID
Cl2Sr-GeI2,Type 1,3.705054551,CdI2-CdI2,40.84403544,3.99749,2.0231,6.1299,4.1068,5.9024,-4.11,-6.133,ID
CaCl2-I2Mg,Type 2,1.671441164,CdI2-CdI2,38.57987192,4.02629,3.6464,6.4307,2.7843,6.2128,-2.734,-6.43,ID
CdI2-Cl2Pb,Type 2,1.562184528,CdI2-CdI2,29.66818309,3.9194,2.2044,6.4983,4.2939,6.2831,-4.292,-6.498,ID
