Formula,prototype,Mismatch,avg_lattice_param,Unlabeled_Eb,Unlabeled_ILD,Unlabeled_Eg,band_alignment,Unlabeled_IE,Unlabeled_EA,Unlabeled_wf,Unlabeled_Ecbm,Unlabeled_Evbm
BaBr2-BaCl2,MoS2-MoS2,3.44,4.61,12.62,3.84,3.26,1,6.29,3.91,6.43,-3.84,-6.77
BaBr2-PbSe2,MoS2-MoS2,3.87,4.78,21.18,3.67,1.92,1,5.63,3.71,5.61,-3.68,-5.68
Br2Ca-Cl2Sr,MoS2-MoS2,2.53,4.17,48.42,3.86,3.5,1,6.56,3.7,6.48,-3.67,-6.83
I2Sr-PbS2,MoS2-MoS2,1.96,4.68,37.58,3.72,1.77,1,5.81,3.74,5.72,-3.79,-5.9
I2Pb-I2Sr,MoS2-MoS2,2.91,4.57,42.78,4.03,2.36,1,6.31,4.14,6.05,-4.06,-6.25
BaCl2-CaI2,MoS2-MoS2,3.31,4.46,46.1,3.96,2.85,1,6.33,3.41,6.3,-3.48,-6.58
BaCl2-I2Sn,MoS2-MoS2,2.54,4.48,21.06,3.99,2.19,1,6.23,3.67,6.1,-3.65,-6.38
BaCl2-Br2Sr,MoS2-MoS2,3.24,4.46,34.95,3.8,3.41,1,6.34,3.61,6.51,-3.63,-6.89
Br2Pb-CaI2,MoS2-MoS2,1.79,4.35,32.81,4.01,2.28,2,6.56,4.2,6.24,-4.02,-6.5
CaI2-I2Sn,MoS2-MoS2,0.77,4.4,28.53,4.18,2.02,1,6.07,3.98,5.7,-3.86,-5.87
Br2Sr-CaI2,MoS2-MoS2,0.07,4.39,55.45,4.02,2.54,2,6.3,3.62,6.28,-3.52,-6.34
CaI2-I2Pb,MoS2-MoS2,2.63,4.44,39.62,4.08,2.18,1,6.42,4.43,5.93,-4.15,-6.24
Br2Pb-I2Sn,MoS2-MoS2,2.56,4.36,10.69,3.97,1.84,2,6.21,4.26,5.95,-4.34,-6.18
Br2Pb-Cl2Sr,MoS2-MoS2,1.96,4.27,13.76,3.88,3.48,1,7.1,4.15,6.61,-4.13,-7.48
BaI2-PbSe2,MoS2-MoS2,0.9,4.9,101.44,3.9,1.42,1,5.68,4.65,5.64,-3.94,-5.79
Br2Sr-I2Pb,MoS2-MoS2,2.56,4.45,29.36,4.01,2.47,1,6.49,4.03,6.17,-4.02,-6.48
Br2Sr-Cl2Sr,MoS2-MoS2,3.82,4.31,55.13,3.86,3.37,1,6.56,3.76,6.39,-3.92,-6.78
Br2Ca-CdI2,CdI2-CdI2,0.6,4.31,36.24,4.1,2.61,1,6.19,3.79,5.9,-3.88,-6.09
Br2Ca-HgI2,CdI2-CdI2,2.04,4.34,31.13,3.72,2.2,1,6.08,3.97,5.83,-4.17,-6.15
Br2Ca-I2Mg,CdI2-CdI2,2.15,4.25,57.16,4.11,3.42,2,6.19,3.36,6.05,-3.46,-6.12
Br2Zn-CdCl2,CdI2-CdI2,2.64,3.85,30.67,3.82,2.43,2,6.71,4.28,6.39,-4.24,-6.93
Br2Mg-CdCl2,CdI2-CdI2,0.41,3.89,32.13,3.9,3.15,2,6.74,4.31,6.37,-4.29,-7.0
HfO2-O2Zr,CdI2-CdI2,0.44,3.26,72.97,3.35,2.7,2,6.26,4.34,5.98,-4.41,-6.61
Br2Mg-PtSe2,CdI2-CdI2,3.54,3.82,73.88,3.85,1.54,1,5.63,4.2,5.5,-4.29,-5.68
Br2Mg-Br2Zn,CdI2-CdI2,2.22,3.84,47.07,3.94,2.99,1,6.5,4.04,6.26,-3.98,-6.55
Br2Zn-Cl2Mg,CdI2-CdI2,3.35,3.74,43.08,3.89,3.16,1,6.41,4.06,6.26,-4.01,-6.56
CaCl2-I2Zn,CdI2-CdI2,0.92,4.12,43.51,4.02,2.42,1,6.1,3.85,5.89,-3.92,-6.12
Br2Cd-CaCl2,CdI2-CdI2,1.84,4.1,30.48,3.93,3.36,1,6.62,4.17,6.26,-4.19,-6.71
CdI2-GeI2,CdI2-CdI2,0.56,4.31,41.96,4.14,1.95,1,5.94,4.14,5.63,-4.21,-5.9
CdI2-Cl2Sr,CdI2-CdI2,3.15,4.39,22.13,4.03,2.97,1,6.26,3.99,5.78,-4.09,-6.16
Cl2Mg-Cl2Zn,CdI2-CdI2,2.04,3.64,42.06,3.83,3.14,1,6.59,4.2,6.28,-4.15,-6.76
CaI2-HgI2,CdI2-CdI2,3.62,4.47,30.99,3.82,1.95,1,5.85,4.12,5.62,-4.22,-5.91
Cl2Mg-PtS2,CdI2-CdI2,2.74,3.62,78.02,3.67,1.92,1,6.2,4.37,6.05,-4.34,-6.3
I2Mg-I2Zn,CdI2-CdI2,2.59,4.15,51.69,4.2,2.08,1,6.02,4.04,5.73,-4.03,-5.9
Br2Cd-I2Zn,CdI2-CdI2,0.93,4.08,39.04,3.96,1.94,2,6.1,4.24,5.88,-4.29,-6.19
GeI2-HgI2,CdI2-CdI2,2.0,4.34,24.77,3.74,1.55,2,5.86,4.43,5.62,-4.41,-5.96
Cl2Sr-HgI2,CdI2-CdI2,1.71,4.42,2.47,3.66,2.13,1,6.15,4.22,5.76,-4.38,-6.28
GeI2-I2Mg,CdI2-CdI2,2.19,4.25,52.69,4.18,2.08,1,5.94,3.99,5.57,-3.99,-5.78
Br2Cd-I2Mg,CdI2-CdI2,3.51,4.13,44.58,4.1,2.25,2,6.11,4.13,5.98,-4.08,-6.2
Al2Se2-Ga2Se2,GaS-GaS,1.23,3.8,60.55,3.97,1.44,1,5.69,4.03,5.47,-4.02,-5.73
Ga2Se2-S2Zn2,GaSe-GaSe,2.25,3.88,58.98,3.76,1.74,2,5.79,4.0,5.65,-3.94,-5.83
Br2Cd2-Se2Zn2,GaSe-GaSe,0.71,4.09,56.61,3.88,1.18,2,5.95,4.49,5.7,-4.38,-5.94
Ag2Br2-Ag2I2,GaSe-GaSe,3.13,4.5,71.95,3.83,1.08,2,5.7,4.48,5.63,-4.4,-5.8
Al2Se2-CdCl2,GaS-CdI2,3.18,3.84,50.39,3.91,1.64,2,5.64,4.24,5.6,-4.23,-5.82
Al2Se2-Br2Mg,GaS-CdI2,2.76,3.83,60.8,4.02,1.97,1,5.74,3.7,5.61,-3.73,-5.84
Al2Se2-Cl2Mg,GaS-CdI2,2.81,3.73,60.02,3.96,2.07,1,5.72,3.66,5.59,-3.7,-5.8
CaCl2-In2Se2,GaS-CdI2,1.54,4.11,37.3,3.96,1.78,1,5.93,3.97,5.69,-3.96,-5.95
Br2Mg-Ga2Se2,GaS-CdI2,1.53,3.85,54.83,3.94,1.85,1,5.81,3.96,5.68,-3.92,-5.83
Cl2Zn-GeSe,GeSe-CdI2,1.85,3.63,48.36,3.76,1.83,1,5.83,4.01,5.73,-4.04,-5.84
Cl2Sr-PbTe,GeSe-CdI2,3.16,4.39,5.15,4.02,1.73,1,5.76,4.17,5.45,-4.42,-5.8
Br2Mg-SSn,GeSe-CdI2,3.44,3.82,32.1,4.0,1.98,1,6.45,4.45,6.34,-4.42,-6.49
CaCl2-PbSe,GeSe-CdI2,1.46,4.11,24.95,4.0,1.94,1,6.32,4.27,5.95,-4.17,-6.38
Br2Zn-SeSn,GeSe-CdI2,2.82,3.85,44.94,3.93,1.43,1,5.95,4.29,5.84,-4.37,-5.96
Br2Mg-SeSn,GeSe-CdI2,0.6,3.9,41.35,3.99,1.87,1,6.08,4.17,5.93,-4.3,-6.02
S2Zn2-SeSn,GeSe-GaSe,0.4,3.91,59.66,3.86,1.36,1,5.96,4.32,5.8,-4.42,-5.9
HfO2-MoS2,MoS2-CdI2,2.19,3.22,95.99,3.54,1.58,2,5.8,3.9,5.51,-4.05,-5.87
Cl2Hf-HfO2,MoS2-CdI2,2.88,3.3,165.74,3.26,0.99,3,5.96,4.47,5.68,-4.25,-5.7
Br2Ca-Se2Zn2,MoS2-GaSe,1.06,4.1,68.72,3.88,1.86,1,5.87,4.05,5.71,-4.1,-5.93
CaCl2-S2Zn2,MoS2-GaSe,0.59,3.93,69.93,3.75,2.07,1,6.05,4.07,5.86,-4.24,-6.07
Hg2I2-I2Sr,MoS2-GaSe,3.96,4.55,1.45,4.11,1.73,1,6.04,4.4,5.86,-4.32,-6.15
BaCl2-Cd2I2,MoS2-GaSe,2.97,4.47,32.81,3.97,1.96,2,5.97,3.57,5.88,-3.69,-6.17
BaCl2-I2In2,MoS2-GaSe,1.21,4.51,37.55,3.98,1.79,1,6.01,3.74,5.81,-3.74,-6.1
Ag2Cl2-BaCl2,MoS2-GaSe,2.98,4.47,39.65,3.37,1.72,1,6.0,4.18,5.92,-4.18,-6.18
BaCl2-Cd2Se2,MoS2-GaSe,1.8,4.49,31.68,3.87,2.07,1,6.15,3.87,6.05,-3.9,-6.36
BaCl2-Cd2Te2,MoS2-GaSe,2.94,4.6,28.05,3.97,1.66,1,5.8,3.97,5.4,-4.0,-5.97
CaI2-Cd2Se2,MoS2-GaSe,1.52,4.42,47.73,4.05,1.75,1,6.03,4.3,5.73,-4.25,-5.97
Cd2I2-I2Sn,MoS2-GaSe,0.42,4.41,14.15,4.17,1.68,2,5.63,4.02,5.58,-4.01,-5.76
Cd2S2-I2Sn,MoS2-GaSe,2.38,4.37,21.05,3.77,1.53,2,5.9,4.29,5.79,-4.38,-5.88
Cd2Se2-I2Sn,MoS2-GaSe,0.75,4.44,25.46,4.04,1.45,2,5.9,4.38,5.7,-4.41,-5.86
Br2Sr-I2In2,MoS2-GaSe,2.03,4.43,37.6,4.05,1.8,2,5.69,3.7,5.65,-3.74,-5.75
Ag2Br2-Br2Sr,MoS2-GaSe,1.02,4.41,47.63,3.79,1.84,1,6.17,4.26,5.86,-4.25,-6.19
Br2Sr-Cd2Se2,MoS2-GaSe,1.44,4.42,43.25,3.94,1.81,1,6.02,4.19,5.86,-4.26,-6.1
Br2Cd2-Cl2Sr,MoS2-GaSe,2.88,4.16,26.83,3.9,1.95,1,6.36,4.25,6.19,-4.22,-6.42
Cl2Sr-I2Zn2,MoS2-GaSe,0.78,4.21,36.76,3.99,1.99,2,5.63,3.59,5.72,-3.66,-5.76
Cl2Sr-Se2Zn2,MoS2-GaSe,3.59,4.15,57.0,3.85,1.98,1,5.89,4.02,5.87,-4.05,-6.05
HfO2-Ir2S2,GaSe-CdI2,0.76,3.27,48.15,3.47,1.1,3,5.51,4.12,5.29,-4.24,-5.84
Ir2S2-O2Zr,GaSe-CdI2,0.32,3.27,54.61,3.47,1.05,3,5.42,4.19,5.19,-4.25,-5.74
Br2Mg-S2Zn2,GaSe-CdI2,1.0,3.9,58.42,3.77,2.23,1,6.21,3.89,5.98,-3.94,-6.17
Br2Cd2-I2Mg,GaSe-CdI2,2.48,4.16,46.82,4.12,1.85,1,6.01,4.27,5.84,-4.19,-6.0
Cd2I2-CdI2,GaSe-CdI2,1.75,4.36,28.25,4.18,1.81,2,5.71,3.94,5.54,-3.89,-5.76
Cd2I2-HgI2,GaSe-CdI2,0.31,4.39,10.04,3.75,1.31,2,5.66,4.44,5.52,-4.43,-5.69
I2Zn-Se2Zn2,GaSe-CdI2,0.6,4.09,59.98,3.85,1.5,2,5.94,4.18,5.6,-4.13,-5.87
Br2Cd-Se2Zn2,GaSe-CdI2,0.33,4.07,53.56,3.81,1.6,2,6.0,4.25,5.73,-4.23,-6.0
Cd2S2-CdI2,GaSe-CdI2,0.21,4.32,34.27,3.77,1.83,2,6.1,4.36,5.86,-4.41,-6.06
