uid,hform,evac,dipz,efermi,gap,vbm,cbm,gap_dir,gap_dir_nosoc,gap_nosoc,workfunction,vbm_hse,cbm_hse,gap_dir_hse,gap_hse,c_11,c_12,E_B,emass_vb_dir1,emass_vb_dir2,emass_cb_dir1,emass_cb_dir2,alphax,alphaz,cell_area,formula,a,ASE atoms,PMG structures,PDOS,cbm_hybridization,cbm_character,cbm_specie,cbm_location,cbm_score,vbm_hybridization,vbm_character,vbm_specie,vbm_location,vbm_score,cbm_s,cbm_p,cbm_d,cbm_f,cbm_sp,cbm_sd,cbm_sf,cbm_pd,cbm_pf,cbm_df,vbm_s,vbm_p,vbm_d,vbm_f,vbm_sp,vbm_sd,vbm_sf,vbm_pd,vbm_pf,vbm_df,lattice_param,prototype,spacegroup
BaBr2-1a59eff92917,-2.099071509,3.017330211,-2.74E-14,-2.249336496,4.157127249,-4.327900121,-0.170772872,4.211233098,4.270508425,4.214654718,5.266666707,-5.172582888,0.155114086,5.351554518,5.327696974,17.45475511,8.940051354,2.238558137,-7.726166054,-7.010267451,3.662117611,8.199607927,2.626060984,0.465307669,19.06791808,BaBr2,"[  4.69230597   4.69230597  18.67437396  90.          90.
 120.        ]","Atoms(symbols='BaBr2', pbc=[True, True, False], cell=[[4.692305965939192, 0.0, 0.0], [-2.346152982969596, 4.063656168832619, 0.0], [0.0, 0.0, 18.674373957794884]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 4.692305965939192 4.692305965939192 18.674373957794884
 angles : 90.0 90.0 120.00000000000001
 volume : 356.08143290727935
      A : 4.692305965939192 0.0 0.0
      B : -2.346152982969596 4.063656168832619 0.0
      C : 0.0 0.0 18.674373957794884
    pbc : True True True
PeriodicSite: Ba (0.0, 0.0, 9.337) [0.0, 0.0, 0.5]
PeriodicSite: Br (2.346, 1.355, 11.17) [0.6667, 0.3333, 0.5984]
PeriodicSite: Br (2.346, 1.355, 7.5) [0.6667, 0.3333, 0.4016],)","Complete DOS for Full Formula (Ba1 Br2)
Reduced Formula: BaBr2
abc   :   4.692306   4.692306  18.674374
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  Ba    0         0         0.5
  1  Br    0.666667  0.333333  0.59838
  2  Br    0.666667  0.333333  0.40162",0.967517916,d,Ba,0.0;0.0;0.5,0.765015279,0.808805381,p,Br,0.66666667;0.33333333;0.59838011,0.487983917,0.033847154,0.16336168,0.802791166,0,0.022117312,0.108688785,0,0.524581256,0,0,6.30E-04,0.984171898,0.015198018,0,0.002480448,3.83E-05,0,0.059829847,0,0,4.69230597,MoS2,P-6m2
HfTe2-59c0e014651d,-0.697577131,4.195762328,-1.70E-08,-0.958193754,0.131633072,-1.02401029,-0.892377218,0.584531143,0.771374895,0.354716111,5.153956082,-1.305076379,-0.640275342,1.248328637,0.664801037,58.28146084,18.48585742,0.438741088,-0.607435218,-0.599269126,0.159898351,1.771969423,13.12167284,0.495922471,13.23534913,HfTe2,"[  3.90933047   3.90933047  18.69164956  90.          90.
 120.        ]","Atoms(symbols='HfTe2', pbc=[True, True, False], cell=[[3.909330474795616, 7.311820850939247e-21, 0.0], [-1.954665237397808, 3.3855795029616846, 0.0], [-6.233317830430827e-20, 0.0, 18.691649558310004]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 3.909330474795616 3.909330474795616 18.691649558310004
 angles : 90.0 90.0 120.00000000000001
 volume : 247.3905076408057
      A : 3.909330474795616 7.311820850939247e-21 0.0
      B : -1.954665237397808 3.3855795029616846 0.0
      C : -6.233317830430827e-20 0.0 18.691649558310004
    pbc : True True True
PeriodicSite: Hf (-2.694e-18, -2.81e-19, 9.346) [-7.227e-19, -8.301e-20, 0.5]
PeriodicSite: Te (1.955, 1.129, 11.2) [0.6667, 0.3333, 0.5989]
PeriodicSite: Te (1.955, 1.129, 7.496) [0.6667, 0.3333, 0.4011],)","Complete DOS for Full Formula (Hf1 Te2)
Reduced Formula: HfTe2
abc   :   3.909330   3.909330  18.691650
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Hf    0         0         0.5
  1  Te    0.666667  0.333333  0.598945
  2  Te    0.666667  0.333333  0.401055",0.989913798,d,Hf,0.0;0.0;0.5,0.743247669,1.348177129,p,Te,0.66666667;0.33333333;0.59894462,0.349332811,0.016118467,0.209048266,0.774833267,0,0.013478151,0.049956499,0,0.647910203,0,0,0.00644892,0.776326501,0.217224579,0,0.020025869,0.005603456,0,0.67454879,0,0,3.90933047,MoS2,P-6m2
CrO2-2433700165bb,-1.692770441,3.747923649,2.44E-14,-3.392968974,0.415707098,-3.600822523,-3.185115425,1.51357427,1.548650135,0.417330856,7.140892623,-3.849189534,-2.705112188,2.046445237,1.144077346,215.4220867,73.55735233,0.775615495,-1.441812175,-1.434764776,0.87127154,0.875132324,6.079038359,0.970111868,6.010855627,CrO2,"[  2.63452808   2.63452808  17.33687946  90.          90.
 120.        ]","Atoms(symbols='CrO2', pbc=[True, True, False], cell=[[2.634528084553453, 0.0, 0.0], [-1.3172640422767266, 2.281568248206848, 0.0], [0.0, -0.0, 17.33687946384018]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 2.634528084553453 2.634528084553453 17.33687946384018
 angles : 90.0 90.0 120.00000000000001
 volume : 104.20947947510051
      A : 2.634528084553453 0.0 0.0
      B : -1.3172640422767266 2.281568248206848 0.0
      C : 0.0 -0.0 17.33687946384018
    pbc : True True True
PeriodicSite: Cr (0.0, 0.0, 8.668) [0.0, 0.0, 0.5]
PeriodicSite: O (1.317, 0.7605, 9.837) [0.6667, 0.3333, 0.5674]
PeriodicSite: O (1.317, 0.7605, 7.5) [0.6667, 0.3333, 0.4326],)","Complete DOS for Full Formula (Cr1 O2)
Reduced Formula: CrO2
abc   :   2.634528   2.634528  17.336879
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cr    0         0         0.5
  1  O     0.666667  0.333333  0.567396
  2  O     0.666667  0.333333  0.432604",0.431504396,d,Cr,0.0;0.0;0.5,0.900003103,0.874007715,d,Cr,0.0;0.0;0.5,0.724925646,0.0096134,0.090383498,0.900003103,0,0.003475571,0.034608359,0,0.325381713,0,0,0.025153546,0.249920808,0.724925646,0,0.025145578,0.072937801,0,0.724696014,0,0,2.63452808,MoS2,P-6m2
MoTe2-38a53176109a,-0.300523359,4.754314334,-3.27E-14,0.454686109,0.93183334,-0.011230561,0.920602779,0.93183334,1.076725164,1.076725164,4.299628225,-0.052641421,1.316962688,1.369604109,1.369604109,82.84200487,18.94946295,0.455010066,-0.590311967,-0.589248349,0.469661597,0.471618272,10.49380849,0.472791523,10.89805694,MoTe2,"[  3.54739231   3.54739231  18.6102      90.          90.
 120.        ]","Atoms(symbols='MoTe2', pbc=[True, True, False], cell=[[3.547392311830623, 0.0, 0.0], [-1.7736961559153115, 3.0721318592349283, 0.0], [0.0, -0.0, 18.6102]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 3.547392311830623 3.547392311830623 18.6102
 angles : 90.0 90.0 120.00000000000001
 volume : 202.81501923463765
      A : 3.547392311830623 0.0 0.0
      B : -1.7736961559153115 3.0721318592349283 0.0
      C : 0.0 -0.0 18.6102
    pbc : True True True
PeriodicSite: Mo (0.0, 0.0, 9.305) [0.0, 0.0, 0.5]
PeriodicSite: Te (1.774, 1.024, 11.11) [0.6667, 0.3333, 0.597]
PeriodicSite: Te (1.774, 1.024, 7.5) [0.6667, 0.3333, 0.403],)","Complete DOS for Full Formula (Te2 Mo1)
Reduced Formula: Te2Mo
abc   :   3.547392   3.547392  18.610200
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mo    0         0         0.5
  1  Te    0.666667  0.333333  0.596995
  2  Te    0.666667  0.333333  0.403005",0.697369584,d,Mo,0.0;0.0;0.5,0.834887673,0.956026979,d,Mo,0.0;0.0;0.5,0.692043158,0.020411571,0.129731592,0.849856837,0,0.010592102,0.069387653,0,0.441013121,0,0,0.008604541,0.291226685,0.700168774,0,0.010023488,0.024098524,0,0.815631324,0,0,3.54739231,MoS2,P-6m2
TiBr2-57116f9a9a4e,-1.144989671,3.664516002,-1.69E-10,0.168356587,0.75788016,-0.210583493,0.547296667,0.929220656,0.96682731,0.794154483,3.496159415,0.104512406,1.270125255,1.281940885,1.165612849,73.04587838,15.13157551,0.591356513,-0.587505823,-0.587267962,1.207577636,2.325614568,7.835787537,0.393325435,10.4400129,Br2Ti,"[  3.47204385   3.47204385  18.38770692  90.          90.
 120.        ]","Atoms(symbols='TiBr2', pbc=[True, True, False], cell=[[3.4720438532912405, 0.0, 0.0], [-1.7360219266456203, 3.0068781800038247, 0.0], [0.0, 0.0, 18.387706917308005]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 3.4720438532912405 3.4720438532912405 18.387706917308005
 angles : 90.0 90.0 120.00000000000001
 volume : 191.96789746367645
      A : 3.4720438532912405 0.0 0.0
      B : -1.7360219266456203 3.0068781800038247 0.0
      C : 0.0 0.0 18.387706917308005
    pbc : True True True
PeriodicSite: Ti (8.15e-19, -9.889e-19, 9.194) [7.029e-20, -3.289e-19, 0.5]
PeriodicSite: Br (1.736, 1.002, 10.89) [0.6667, 0.3333, 0.5921]
PeriodicSite: Br (1.736, 1.002, 7.5) [0.6667, 0.3333, 0.4079],)","Complete DOS for Full Formula (Ti1 Br2)
Reduced Formula: TiBr2
abc   :   3.472044   3.472044  18.387707
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ti    0         0         0.5
  1  Br    0.666667  0.333333  0.592119
  2  Br    0.666667  0.333333  0.407881",0.533838379,d,Ti,0.0;0.0;0.5,0.880390281,0.48819446,d,Ti,0.0;0.0;0.5,0.895673545,0.006081051,0.093703994,0.900214955,0,0.002279275,0.021897012,0,0.337414948,0,0,0.00204801,0.082239923,0.915712067,0,6.74E-04,0.007501548,0,0.30123236,0,0,3.47204385,MoS2,P-6m2
CaBr2-fbb623b6f288,-1.965414287,2.974280988,1.33E-14,-2.520706183,4.12767382,-4.584543093,-0.456869272,4.156690564,4.207950453,4.207411544,5.494987171,-5.390847261,0.123704846,5.569122979,5.514552107,27.8101799,10.26413208,2.172301791,-1.526125911,-1.513198209,2.705930737,9.957925164,2.863703141,0.441891441,14.69201249,Br2Ca,"[  4.11884386   4.11884386  18.51431961  90.          90.
 120.        ]","Atoms(symbols='CaBr2', pbc=[True, True, False], cell=[[4.118843858661847, 2.664216971654022e-21, 0.0], [-2.0594219293309237, 3.5670234158226815, 0.0], [0.0, 0.0, 18.514319606368645]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 4.118843858661847 4.118843858661847 18.514319606368645
 angles : 90.0 90.0 120.00000000000001
 volume : 272.01261489995824
      A : 4.118843858661847 2.664216971654022e-21 0.0
      B : -2.0594219293309237 3.5670234158226815 0.0
      C : 0.0 0.0 18.514319606368645
    pbc : True True True
PeriodicSite: Ca (2.842e-18, -3.32e-18, 9.257) [2.246e-19, -9.307e-19, 0.5]
PeriodicSite: Br (2.059, 1.189, 11.01) [0.6667, 0.3333, 0.5949]
PeriodicSite: Br (2.059, 1.189, 7.5) [0.6667, 0.3333, 0.4051],)","Complete DOS for Full Formula (Ca1 Br2)
Reduced Formula: CaBr2
abc   :   4.118844   4.118844  18.514320
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ca    0         0         0.5
  1  Br    0.666667  0.333333  0.594908
  2  Br    0.666667  0.333333  0.405092",0.773937313,d,Ca,0.0;0.0;0.5,0.818677228,0.836228861,p,Br,0.66666667;0.33333333;0.59490815,0.483352658,0.006722406,0.128303484,0.86497411,0,0.003450032,0.023258828,0,0.443916767,0,0,8.74E-04,0.970968142,0.028157473,0,0.003395997,9.85E-05,0,0.109360038,0,0,4.11884386,MoS2,P-6m2
CaCl2-3ca106221b9b,-2.26692092,2.974666105,-6.92E-14,-2.892676607,4.770564916,-5.277959065,-0.507394149,4.771444054,4.774288837,4.774044193,5.867342713,-6.27156188,0.11260663,6.384190884,6.38416851,31.30857879,12.3060361,2.603096979,-38.00424862,-23.65963031,1.901619295,3.37137617,2.532825164,0.4043217,13.48388635,CaCl2,"[  3.94586503   3.94586503  18.23216063  90.          90.
 120.        ]","Atoms(symbols='CaCl2', pbc=[True, True, False], cell=[[3.9458650291867547, 0.0, 0.0], [-1.9729325145933774, 3.4172193551803547, 0.0], [0.0, 0.0, 18.232160626585532]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 3.9458650291867547 3.9458650291867547 18.232160626585532
 angles : 90.0 90.0 120.00000000000001
 volume : 245.8403818159717
      A : 3.9458650291867547 0.0 0.0
      B : -1.9729325145933774 3.4172193551803547 0.0
      C : 0.0 0.0 18.232160626585532
    pbc : True True True
PeriodicSite: Ca (0.0, 0.0, 9.116) [0.0, 0.0, 0.5]
PeriodicSite: Cl (1.973, 1.139, 10.73) [0.6667, 0.3333, 0.5886]
PeriodicSite: Cl (1.973, 1.139, 7.5) [0.6667, 0.3333, 0.4114],)","Complete DOS for Full Formula (Ca1 Cl2)
Reduced Formula: CaCl2
abc   :   3.945865   3.945865  18.232161
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ca    0         0         0.5
  1  Cl    0.666667  0.333333  0.588639
  2  Cl    0.666667  0.333333  0.411361",0.591916029,d,Ca,0.0;0.0;0.5,0.854821377,0.80325328,p,Cl,0.66666667;0.33333333;0.58863899,0.488176319,0.006790246,0.138388377,0.854821377,0,0.003758764,0.023217789,0,0.473189373,0,0,7.38E-04,0.980467548,0.018794087,0,0.002895772,5.55E-05,0,0.073707971,0,0,3.94586503,MoS2,P-6m2
SrI2-6cfaae647808,-1.64612344,3.202954811,-6.83E-15,-1.721607202,3.418064015,-3.43063921,-0.012575195,3.516938865,3.730684009,3.724633774,4.924562014,-4.063875708,0.291313644,4.477354234,4.355189352,17.77092882,7.408812511,1.691118672,-1.394947893,-1.378905144,0.702038097,2.729475723,2.925051737,0.493787377,18.60955243,I2Sr,"[  4.63556471   4.63556471  19.00577002  90.          90.
 120.        ]","Atoms(symbols='SrI2', pbc=[True, True, False], cell=[[4.635564712732236, -1.1347180492215925e-19, 0.0], [-2.317782356366118, 4.014516802112831, 0.0], [0.0, 0.0, 19.005770021358153]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 4.635564712732236 4.635564712732237 19.005770021358153
 angles : 90.0 90.0 119.99999999999999
 volume : 353.68887361931996
      A : 4.635564712732236 -1.1347180492215925e-19 0.0
      B : -2.317782356366118 4.014516802112831 0.0
      C : 0.0 0.0 19.005770021358153
    pbc : True True True
PeriodicSite: Sr (-1.518e-19, -3.369e-19, 9.503) [-7.471e-20, -8.393e-20, 0.5]
PeriodicSite: I (2.318, 1.338, 11.51) [0.6667, 0.3333, 0.6054]
PeriodicSite: I (2.318, 1.338, 7.5) [0.6667, 0.3333, 0.3946],)","Complete DOS for Full Formula (Sr1 I2)
Reduced Formula: SrI2
abc   :   4.635565   4.635565  19.005770
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Sr    0         0         0.5
  1  I     0.666667  0.333333  0.605383
  2  I     0.666667  0.333333  0.394617",1.100680851,d,Sr,0.0;0.0;0.5,0.71304527,0.854922374,p,I,0.66666667;0.33333333;0.605383,0.481463165,0.017817682,0.195237005,0.786945313,0,0.013914683,0.056086165,0,0.614563384,0,0,0.001037594,0.970826562,0.028135845,0,0.004029294,1.17E-04,0,0.109260102,0,0,4.63556471,MoS2,P-6m2
WS2-64090c9845f8,-0.873548574,4.644735994,-7.39E-11,-0.088524392,1.533624078,-0.855336431,0.678287647,1.533624078,1.815949151,1.815949151,4.733260386,-1.023236777,1.031691813,2.05492859,2.05492859,145.7435787,32.15539185,0.516073108,-0.336478249,-0.336406624,0.465817852,0.468884263,5.603550907,0.374975675,8.790375735,S2W,"[  3.18594595   3.18594595  18.14559488  90.          90.
 120.        ]","Atoms(symbols='WS2', pbc=[True, True, False], cell=[[3.185945949661419, 0.0, 0.0], [-1.5929729748307095, 2.7591101274909273, 0.0], [0.0, -0.0, 18.14559487597237]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 3.185945949661419 3.185945949661419 18.14559487597237
 angles : 90.0 90.0 120.00000000000001
 volume : 159.50659690123013
      A : 3.185945949661419 0.0 0.0
      B : -1.5929729748307095 2.7591101274909273 0.0
      C : 0.0 -0.0 18.14559487597237
    pbc : True True True
PeriodicSite: W (0.0, 0.0, 9.073) [0.0, 0.0, 0.5]
PeriodicSite: S (1.593, 0.9197, 10.65) [0.6667, 0.3333, 0.5867]
PeriodicSite: S (1.593, 0.9197, 7.5) [0.6667, 0.3333, 0.4133],)","Complete DOS for Full Formula (W1 S2)
Reduced Formula: WS2
abc   :   3.185946   3.185946  18.145595
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  W     0         0         0.5
  1  S     0.666667  0.333333  0.586677
  2  S     0.666667  0.333333  0.413323",0.919415248,d,W,0.0;0.0;0.5,0.721491791,0.792489483,d,W,0.0;0.0;0.5,0.769020961,0.032215394,0.246292815,0.721491791,0,0.03173768,0.092972569,0,0.710792977,0,0,0.018693649,0.21228539,0.769020961,0,0.015873554,0.057503231,0,0.653007658,0,0,3.18594595,MoS2,P-6m2
BaCl2-54ec344f88a7,-2.369656234,3.014735217,-1.15E-14,-2.454480281,4.746599335,-4.827779948,-0.081180613,4.780538717,4.791099238,4.751570589,5.469215498,-5.829145862,0.269371563,6.11542948,6.098517425,21.01675771,10.87845617,2.588482504,-20.64416331,-8.558456934,5.440536194,22.59080285,2.464119869,0.434781209,17.79874317,BaCl2,"[  4.53345545   4.53345545  18.38386157  90.          90.
 120.        ]","Atoms(symbols='BaCl2', pbc=[True, True, False], cell=[[4.533455450510542, 0.0, 0.0], [-2.266727725255271, 3.926087587067156, 0.0], [0.0, 0.0, 18.38386156752326]], calculator=SinglePointCalculator(...))","(Structure Summary
Lattice
    abc : 4.533455450510542 4.533455450510542 18.38386156752326
 angles : 90.0 90.0 120.00000000000001
 volume : 327.2096305273611
      A : 4.533455450510542 0.0 0.0
      B : -2.266727725255271 3.926087587067156 0.0
      C : 0.0 0.0 18.38386156752326
    pbc : True True True
PeriodicSite: Ba (0.0, 0.0, 9.192) [0.0, 0.0, 0.5]
PeriodicSite: Cl (2.267, 1.309, 10.88) [0.6667, 0.3333, 0.592]
PeriodicSite: Cl (2.267, 1.309, 7.5) [0.6667, 0.3333, 0.408],)","Complete DOS for Full Formula (Ba1 Cl2)
Reduced Formula: BaCl2
abc   :   4.533455   4.533455  18.383862
angles:  90.000000  90.000000 120.000000
pbc   :       True       True       True
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ba    0         0         0.5
  1  Cl    0.666667  0.333333  0.592033
  2  Cl    0.666667  0.333333  0.407967",0.838021678,d,Ba,0.0;0.0;0.5,0.786857668,0.784844417,p,Cl,0.66666667;0.33333333;0.59203348,0.490948275,0.038840406,0.174301926,0.786857668,0,0.02707983,0.122247484,0,0.548603229,0,0,3.54E-04,0.98845753,0.011188279,0,0.001400414,1.59E-05,0,0.044236553,0,0,4.53345545,MoS2,P-6m2
