uid,formula,lattice_param,prototype,spacegroup,gap,workfunction
BaBr2-1a59eff92917,BaBr2,4.69230597,MoS2,P-6m2,4.157127249,5.266666707
HfTe2-59c0e014651d,HfTe2,3.90933047,MoS2,P-6m2,0.131633072,5.153956082
CrO2-2433700165bb,CrO2,2.63452808,MoS2,P-6m2,0.415707098,7.140892623
MoTe2-38a53176109a,MoTe2,3.54739231,MoS2,P-6m2,0.93183334,4.299628225
TiBr2-57116f9a9a4e,Br2Ti,3.47204385,MoS2,P-6m2,0.75788016,3.496159415
CaBr2-fbb623b6f288,Br2Ca,4.11884386,MoS2,P-6m2,4.12767382,5.494987171
CaCl2-3ca106221b9b,CaCl2,3.94586503,MoS2,P-6m2,4.770564916,5.867342713
SrI2-6cfaae647808,I2Sr,4.63556471,MoS2,P-6m2,3.418064015,4.924562014
WS2-64090c9845f8,S2W,3.18594595,MoS2,P-6m2,1.533624078,4.733260386
BaCl2-54ec344f88a7,BaCl2,4.53345545,MoS2,P-6m2,4.746599335,5.469215498
CrTe2-c31911a1b3f9,CrTe2,3.47016788,MoS2,P-6m2,0.453283297,4.548286837
HfBr2-84e9162c0c53,Br2Hf,3.50018957,MoS2,P-6m2,0.732131102,2.990998069
PdSe2-0ae696751911,PdSe2,4.00109301,MoS2,P-6m2,0.229237781,3.655067741
ZrI2-9c024b5a2e89,I2Zr,3.82906148,MoS2,P-6m2,0.687104354,3.051151137
MoS2-b3b4685fb6e1,MoS2,3.18406646,MoS2,P-6m2,1.58038944,5.097455592
PbS2-372c217dd52f,PbS2,4.72714317,MoS2,P-6m2,1.389531295,4.673906774
ZrTe2-f7ad606317e6,Te2Zr,3.92252217,MoS2,P-6m2,0.258653581,5.278217606
TiCl2-95688ba68ca1,Cl2Ti,3.27902779,MoS2,P-6m2,0.902542735,3.794486754
CaI2-066f40f26c53,CaI2,4.38567937,MoS2,P-6m2,2.946218825,4.88183388
PbBr2-cbdc15b42a05,Br2Pb,4.30787753,MoS2,P-6m2,2.274864553,5.982131819
BaI2-c4707a226b8f,BaI2,4.92173735,MoS2,P-6m2,3.332387922,4.968312917
CrS2-c5ee5e35d2b4,CrS2,3.04756354,MoS2,P-6m2,0.877437331,5.40299664
HfCl2-864f8b497185,Cl2Hf,3.34937962,MoS2,P-6m2,0.908001551,3.245230605
PbCl2-b0b142073783,Cl2Pb,4.18010409,MoS2,P-6m2,2.77540849,6.315468731
PbSe2-0bc5d11454a7,PbSe2,4.877487,MoS2,P-6m2,1.026994586,4.459841273
